,precision,recall,f1-score,support
BENIGN,0.05825242718446602,0.10112359550561797,0.07392197125256673,178.0
Bot,0.0,0.0,0.0,193.0
Brute Force,0.22727272727272727,0.481651376146789,0.3088235294117647,218.0
DDoS,0.0,0.0,0.0,192.0
DoS,0.045454545454545456,0.01,0.01639344262295082,200.0
DrDoS_DNS,0.0,0.0,0.0,200.0
DrDoS_LDAP,0.0,0.0,0.0,179.0
DrDoS_MSSQL,0.0,0.0,0.0,202.0
DrDoS_NTP,0.07926534557757371,0.841025641025641,0.14487632508833923,195.0
DrDoS_NetBIOS,0.0,0.0,0.0,187.0
DrDoS_SNMP,0.0,0.0,0.0,207.0
DrDoS_SSDP,0.0,0.0,0.0,207.0
DrDoS_UDP,0.0,0.0,0.0,195.0
Exploits,0.0,0.0,0.0,210.0
Fuzzers,0.016304347826086956,0.014084507042253521,0.015113350125944584,213.0
Generic,0.3333333333333333,0.010050251256281407,0.01951219512195122,199.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,185.0
MSSQL,0.0,0.0,0.0,204.0
NetBIOS,0.0,0.0,0.0,211.0
Port Scan,0.45,0.047619047619047616,0.0861244019138756,189.0
Reconnaissance,0.0,0.0,0.0,196.0
Shellcode,0.0,0.0,0.0,198.0
Syn,0.0,0.0,0.0,198.0
TFTP,0.0,0.0,0.0,200.0
UDP,0.0,0.0,0.0,228.0
UDP-lag,0.0,0.0,0.0,199.0
Web Attack,0.0,0.0,0.0,217.0
accuracy,0.05611111111111111,0.05611111111111111,0.05611111111111111,0.05611111111111111
macro avg,0.04321009738031188,0.05376980066412967,0.023741614840621175,5400.0
weighted avg,0.044318184719095426,0.05611111111111111,0.025072369366547196,5400.0
