,precision,recall,f1-score,support
BENIGN,0.3828125,0.2692307692307692,0.3161290322580645,182.0
Bot,0.0,0.0,0.0,217.0
Brute Force,0.0,0.0,0.0,176.0
DDoS,0.0,0.0,0.0,178.0
DoS,0.11627906976744186,0.08771929824561403,0.1,228.0
DrDoS_DNS,0.07541478129713423,0.45045045045045046,0.12919896640826872,222.0
DrDoS_LDAP,0.0,0.0,0.0,191.0
DrDoS_MSSQL,0.14853195164075994,0.4236453201970443,0.21994884910485935,203.0
DrDoS_NTP,0.06482281763180639,0.38461538461538464,0.11094674556213018,195.0
DrDoS_NetBIOS,0.0,0.0,0.0,201.0
DrDoS_SNMP,0.0,0.0,0.0,192.0
DrDoS_SSDP,0.0,0.0,0.0,202.0
DrDoS_UDP,0.0,0.0,0.0,205.0
Exploits,0.0,0.0,0.0,194.0
Fuzzers,0.0,0.0,0.0,191.0
Generic,0.0,0.0,0.0,196.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,203.0
MSSQL,0.16666666666666666,0.005235602094240838,0.01015228426395939,191.0
NetBIOS,0.19122257053291536,0.2975609756097561,0.23282442748091603,205.0
Port Scan,0.0,0.0,0.0,189.0
Reconnaissance,0.0,0.0,0.0,197.0
Shellcode,0.0,0.0,0.0,203.0
Syn,0.028169014084507043,0.009478672985781991,0.014184397163120567,211.0
TFTP,0.0,0.0,0.0,199.0
UDP,0.0,0.0,0.0,211.0
UDP-lag,0.0,0.0,0.0,204.0
Web Attack,0.0,0.0,0.0,214.0
accuracy,0.07296296296296297,0.07296296296296297,0.07296296296296297,0.07296296296296297
macro avg,0.04192569184361541,0.0688548740510372,0.0404780250800471,5400.0
weighted avg,0.043091785600116485,0.07296296296296297,0.04221534961035698,5400.0
