,precision,recall,f1-score,support
BENIGN,0.021352313167259787,0.03015075376884422,0.025,199.0
Bot,0.0,0.0,0.0,199.0
Brute Force,0.0,0.0,0.0,205.0
DDoS,0.7209302325581395,0.1657754010695187,0.26956521739130435,187.0
DoS,0.8861788617886179,0.5317073170731708,0.6646341463414634,205.0
DrDoS_DNS,0.1657142857142857,0.13302752293577982,0.1475826972010178,218.0
DrDoS_LDAP,0.22435897435897437,0.17326732673267325,0.19553072625698323,202.0
DrDoS_MSSQL,0.27522935779816515,0.1507537688442211,0.19480519480519481,199.0
DrDoS_NTP,0.0,0.0,0.0,186.0
DrDoS_NetBIOS,0.016286644951140065,0.026041666666666668,0.02004008016032064,192.0
DrDoS_SNMP,0.04299065420560748,0.323943661971831,0.07590759075907591,213.0
DrDoS_SSDP,0.0,0.0,0.0,200.0
DrDoS_UDP,0.0,0.0,0.0,187.0
Exploits,0.0,0.0,0.0,208.0
Fuzzers,0.0,0.0,0.0,181.0
Generic,0.0,0.0,0.0,205.0
LDAP,0.0,0.0,0.0,194.0
MSSQL,0.0,0.0,0.0,193.0
NetBIOS,0.10552763819095477,0.32142857142857145,0.15889029003783103,196.0
Port Scan,0.0,0.0,0.0,191.0
Reconnaissance,0.0,0.0,0.0,213.0
Shellcode,0.0,0.0,0.0,202.0
Syn,0.525,0.4,0.4540540540540541,210.0
TFTP,0.002617801047120419,0.005,0.003436426116838488,200.0
UDP,0.0,0.0,0.0,196.0
UDP-lag,0.4684014869888476,0.586046511627907,0.5206611570247934,215.0
Web Attack,0.0,0.0,0.0,204.0
accuracy,0.10888888888888888,0.10888888888888888,0.10888888888888888,0.10888888888888888
macro avg,0.1279477129914486,0.1054497223007105,0.10111509556106951,5400.0
weighted avg,0.12988776702912075,0.10888888888888888,0.103927677503161,5400.0
