,precision,recall,f1-score,support
BENIGN,0.0446410203661798,0.9644444444444444,0.08533228470310657,225.0
Bot,0.0,0.0,0.0,214.0
Brute Force,0.0,0.0,0.0,194.0
DDoS,0.045454545454545456,0.031746031746031744,0.037383177570093455,189.0
DoS,0.0,0.0,0.0,212.0
DrDoS_DNS,0.0,0.0,0.0,195.0
DrDoS_LDAP,0.0,0.0,0.0,185.0
DrDoS_MSSQL,0.0,0.0,0.0,192.0
DrDoS_NTP,0.0,0.0,0.0,191.0
DrDoS_NetBIOS,0.0,0.0,0.0,197.0
DrDoS_SNMP,0.0,0.0,0.0,224.0
DrDoS_SSDP,0.0,0.0,0.0,219.0
DrDoS_UDP,0.0,0.0,0.0,179.0
Exploits,0.0,0.0,0.0,204.0
Fuzzers,0.0,0.0,0.0,189.0
Generic,0.0,0.0,0.0,201.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,203.0
MSSQL,0.0,0.0,0.0,190.0
NetBIOS,0.0,0.0,0.0,208.0
Port Scan,0.0,0.0,0.0,204.0
Reconnaissance,0.0,0.0,0.0,203.0
Shellcode,0.0,0.0,0.0,188.0
Syn,0.0,0.0,0.0,186.0
TFTP,0.0,0.0,0.0,209.0
UDP,0.0,0.0,0.0,205.0
UDP-lag,0.0,0.0,0.0,189.0
Web Attack,0.0,0.0,0.0,205.0
accuracy,0.041296296296296296,0.041296296296296296,0.041296296296296296,0.041296296296296296
macro avg,0.0032176987793116163,0.035578231292517006,0.004382695081185715,5400.0
weighted avg,0.003450951606166583,0.041296296296296296,0.004863923077582711,5400.0
