,precision,recall,f1-score,support
BENIGN,0.0431148262208535,0.9702970297029703,0.08256107834877843,202.0
Bot,0.0,0.0,0.0,200.0
Brute Force,0.0,0.0,0.0,215.0
DDoS,0.0,0.0,0.0,208.0
DoS,0.017167381974248927,0.021164021164021163,0.018957345971563982,189.0
DrDoS_DNS,0.0,0.0,0.0,188.0
DrDoS_LDAP,0.0,0.0,0.0,207.0
DrDoS_MSSQL,0.0,0.0,0.0,193.0
DrDoS_NTP,0.0,0.0,0.0,182.0
DrDoS_NetBIOS,0.0,0.0,0.0,199.0
DrDoS_SNMP,0.0,0.0,0.0,202.0
DrDoS_SSDP,0.0,0.0,0.0,211.0
DrDoS_UDP,0.0,0.0,0.0,178.0
Exploits,0.0,0.0,0.0,206.0
Fuzzers,0.0055762081784386614,0.014285714285714285,0.008021390374331552,210.0
Generic,0.2857142857142857,0.019138755980861243,0.03587443946188341,209.0
LDAP,0.0,0.0,0.0,201.0
MSSQL,0.0,0.0,0.0,208.0
NetBIOS,0.0,0.0,0.0,197.0
Port Scan,0.0,0.0,0.0,202.0
Reconnaissance,0.0,0.0,0.0,210.0
Shellcode,0.0,0.0,0.0,194.0
Syn,0.0,0.0,0.0,212.0
TFTP,0.0,0.0,0.0,197.0
UDP,0.0,0.0,0.0,196.0
UDP-lag,0.0,0.0,0.0,186.0
Web Attack,0.0,0.0,0.0,198.0
accuracy,0.03833333333333333,0.03833333333333333,0.03833333333333333,0.03833333333333333
macro avg,0.01302121118843803,0.037958723004946925,0.005385713116909532,5400.0
weighted avg,0.013488725837315422,0.03833333333333333,0.005452319637263351,5400.0
