,precision,recall,f1-score,support
BENIGN,0.047305764411027566,0.7330097087378641,0.088875809299588,206.0
Bot,0.3076923076923077,0.02072538860103627,0.038834951456310676,193.0
Brute Force,0.20404411764705882,0.5634517766497462,0.29959514170040485,197.0
DDoS,0.0,0.0,0.0,181.0
DoS,0.026200873362445413,0.057971014492753624,0.03609022556390978,207.0
DrDoS_DNS,0.0,0.0,0.0,198.0
DrDoS_LDAP,0.0,0.0,0.0,213.0
DrDoS_MSSQL,0.0,0.0,0.0,196.0
DrDoS_NTP,0.0,0.0,0.0,214.0
DrDoS_NetBIOS,0.0,0.0,0.0,198.0
DrDoS_SNMP,0.0,0.0,0.0,209.0
DrDoS_SSDP,0.0,0.0,0.0,190.0
DrDoS_UDP,0.0,0.0,0.0,194.0
LDAP,0.0,0.0,0.0,190.0
MSSQL,0.0,0.0,0.0,200.0
NetBIOS,0.0,0.0,0.0,187.0
Port Scan,0.06043956043956044,0.05263157894736842,0.056265984654731455,209.0
Syn,0.0,0.0,0.0,204.0
TFTP,0.0,0.0,0.0,186.0
UDP,0.0,0.0,0.0,206.0
UDP-lag,0.0,0.0,0.0,215.0
Web Attack,0.0,0.0,0.0,207.0
accuracy,0.06568181818181819,0.06568181818181819,0.06568181818181819,0.06568181818181819
macro avg,0.029349210161472725,0.06489952124676221,0.0236210051215884,4400.0
weighted avg,0.028950396124466364,0.06568181818181819,0.02364865289689342,4400.0
