,precision,recall,f1-score,support
BENIGN,0.034169550173010384,0.36574074074074076,0.0625,216.0
Bot,0.0,0.0,0.0,201.0
Brute Force,0.0,0.0,0.0,208.0
DDoS,0.09090909090909091,0.02912621359223301,0.04411764705882353,206.0
DoS,0.020618556701030927,0.009216589861751152,0.012738853503184714,217.0
DrDoS_DNS,0.0,0.0,0.0,206.0
DrDoS_LDAP,0.0,0.0,0.0,207.0
DrDoS_MSSQL,0.41379310344827586,0.06060606060606061,0.10572687224669604,198.0
DrDoS_NTP,0.0,0.0,0.0,184.0
DrDoS_NetBIOS,0.10625,0.17346938775510204,0.13178294573643412,196.0
DrDoS_SNMP,0.0,0.0,0.0,172.0
DrDoS_SSDP,0.014989293361884369,0.034653465346534656,0.02092675635276532,202.0
DrDoS_UDP,0.0,0.0,0.0,208.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,197.0
MSSQL,0.0,0.0,0.0,191.0
NetBIOS,0.0,0.0,0.0,198.0
Port Scan,0.0,0.0,0.0,190.0
Syn,0.8,0.019801980198019802,0.03864734299516908,202.0
TFTP,0.0,0.0,0.0,208.0
UDP,0.0,0.0,0.0,194.0
UDP-lag,0.0,0.0,0.0,204.0
Web Attack,0.06315789473684211,0.03076923076923077,0.041379310344827586,195.0
accuracy,0.03409090909090909,0.03409090909090909,0.03409090909090909,0.03409090909090909
macro avg,0.06712554301435368,0.03145146386389882,0.019905205575560886,4400.0
weighted avg,0.07051858717825231,0.03409090909090909,0.020958835945231766,4400.0
