,precision,recall,f1-score,support
BENIGN,0.042843465773097174,0.8325581395348837,0.08149328477122696,215.0
Bot,0.0,0.0,0.0,180.0
Brute Force,0.0,0.0,0.0,177.0
DDoS,0.0,0.0,0.0,216.0
DoS,0.09230769230769231,0.06741573033707865,0.07792207792207792,178.0
DrDoS_DNS,0.0,0.0,0.0,190.0
DrDoS_LDAP,0.0,0.0,0.0,204.0
DrDoS_MSSQL,0.0,0.0,0.0,206.0
DrDoS_NTP,0.0,0.0,0.0,197.0
DrDoS_NetBIOS,0.0,0.0,0.0,211.0
DrDoS_SNMP,0.0,0.0,0.0,199.0
DrDoS_SSDP,0.0,0.0,0.0,208.0
DrDoS_UDP,0.0,0.0,0.0,190.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,202.0
MSSQL,0.0,0.0,0.0,215.0
NetBIOS,0.0,0.0,0.0,201.0
Port Scan,0.0,0.0,0.0,214.0
Syn,0.0,0.0,0.0,204.0
TFTP,0.0,0.0,0.0,200.0
UDP,0.0,0.0,0.0,188.0
UDP-lag,0.0,0.0,0.0,189.0
Web Attack,0.0,0.0,0.0,216.0
accuracy,0.04340909090909091,0.04340909090909091,0.04340909090909091,0.04340909090909091
macro avg,0.0058761373078604125,0.03912929869008532,0.006931102725795863,4400.0
weighted avg,0.005827753266360256,0.04340909090909091,0.007134360476350832,4400.0
