,precision,recall,f1-score,support
BENIGN,0.056203931203931204,0.9682539682539683,0.10624092888243832,189.0
Bot,0.0,0.0,0.0,214.0
Brute Force,0.0,0.0,0.0,214.0
DDoS,0.0,0.0,0.0,202.0
DoS,0.0,0.0,0.0,207.0
DrDoS_DNS,0.2727272727272727,0.03015075376884422,0.05429864253393665,199.0
DrDoS_LDAP,0.0,0.0,0.0,218.0
DrDoS_MSSQL,0.0,0.0,0.0,208.0
DrDoS_NTP,0.0,0.0,0.0,209.0
DrDoS_NetBIOS,0.0,0.0,0.0,198.0
DrDoS_SNMP,0.0,0.0,0.0,182.0
DrDoS_SSDP,0.0,0.0,0.0,201.0
DrDoS_UDP,0.0,0.0,0.0,209.0
Exploits,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,180.0
MSSQL,0.0,0.0,0.0,168.0
NetBIOS,0.0,0.0,0.0,213.0
Port Scan,0.0,0.0,0.0,201.0
Syn,0.026785714285714284,0.026905829596412557,0.026845637583892617,223.0
TFTP,0.0,0.0,0.0,179.0
UDP,0.0,0.0,0.0,192.0
UDP-lag,0.0,0.0,0.0,188.0
Web Attack,0.0,0.0,0.0,206.0
accuracy,0.04431818181818182,0.04431818181818182,0.04431818181818182,0.04431818181818182
macro avg,0.014228676728676727,0.041012422064769,0.007495408360010704,4400.0
weighted avg,0.016106473762723762,0.04431818181818182,0.008379896046418702,4400.0
