,precision,recall,f1-score,support
BENIGN,0.04840397697540555,0.9113300492610837,0.09192546583850932,203.0
Bot,0.0,0.0,0.0,202.0
Brute Force,0.0,0.0,0.0,218.0
DDoS,0.0,0.0,0.0,205.0
DoS,0.0,0.0,0.0,219.0
DrDoS_DNS,0.0,0.0,0.0,187.0
DrDoS_LDAP,0.0,0.0,0.0,221.0
DrDoS_MSSQL,0.0,0.0,0.0,223.0
DrDoS_NTP,0.0,0.0,0.0,211.0
DrDoS_NetBIOS,0.0,0.0,0.0,192.0
DrDoS_SNMP,0.0,0.0,0.0,183.0
DrDoS_SSDP,0.0,0.0,0.0,194.0
DrDoS_UDP,0.0,0.0,0.0,186.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,193.0
MSSQL,0.0,0.0,0.0,202.0
NetBIOS,0.0,0.0,0.0,207.0
Port Scan,0.0,0.0,0.0,205.0
Syn,0.0,0.0,0.0,181.0
TFTP,0.0,0.0,0.0,201.0
UDP,0.0,0.0,0.0,201.0
UDP-lag,0.0,0.0,0.0,175.0
Web Attack,0.0,0.0,0.0,191.0
accuracy,0.042045454545454546,0.042045454545454546,0.042045454545454546,0.042045454545454546
macro avg,0.002104520738061111,0.03962304562004712,0.003996759384283013,4400.0
weighted avg,0.0022331834831834834,0.042045454545454546,0.004241106719367589,4400.0
