,precision,recall,f1-score,support
BENIGN,0.04243717401612138,0.895,0.08103214124038026,200.0
Bot,0.0,0.0,0.0,198.0
Brute Force,0.0,0.0,0.0,202.0
DDoS,0.0,0.0,0.0,196.0
DoS,0.027210884353741496,0.022857142857142857,0.024844720496894408,175.0
DrDoS_DNS,0.0,0.0,0.0,195.0
DrDoS_LDAP,0.0,0.0,0.0,195.0
DrDoS_MSSQL,0.0,0.0,0.0,186.0
DrDoS_NTP,0.0,0.0,0.0,233.0
DrDoS_NetBIOS,0.0,0.0,0.0,182.0
DrDoS_SNMP,0.0,0.0,0.0,201.0
DrDoS_SSDP,0.0,0.0,0.0,187.0
DrDoS_UDP,0.0,0.0,0.0,202.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,211.0
MSSQL,0.0,0.0,0.0,219.0
NetBIOS,0.0,0.0,0.0,206.0
Port Scan,0.0,0.0,0.0,202.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,177.0
TFTP,0.0,0.0,0.0,207.0
UDP,0.0,0.0,0.0,211.0
UDP-lag,0.0,0.0,0.0,207.0
Web Attack,0.0,0.0,0.0,208.0
accuracy,0.04159090909090909,0.04159090909090909,0.04159090909090909,0.04159090909090909
macro avg,0.002678771475763957,0.0353021978021978,0.00407218698989518,4400.0
weighted avg,0.0030112135375293266,0.04159090909090909,0.004671421439780131,4400.0
