,precision,recall,f1-score,support
BENIGN,0.0136986301369863,0.005128205128205128,0.007462686567164179,195.0
Bot,0.5234375,0.3383838383838384,0.4110429447852761,198.0
Brute Force,0.0,0.0,0.0,201.0
DDoS,0.0326530612244898,0.042328042328042326,0.03686635944700461,189.0
DoS,0.09090909090909091,0.005,0.009478672985781991,200.0
DrDoS_DNS,0.0,0.0,0.0,208.0
DrDoS_LDAP,0.008547008547008548,0.01020408163265306,0.009302325581395349,196.0
DrDoS_MSSQL,0.0,0.0,0.0,203.0
DrDoS_NTP,0.07756563245823389,0.2968036529680365,0.12298959318826869,219.0
DrDoS_NetBIOS,0.02023608768971332,0.06382978723404255,0.030729833546734954,188.0
DrDoS_SNMP,0.0038461538461538464,0.00909090909090909,0.005405405405405406,220.0
DrDoS_SSDP,0.0,0.0,0.0,187.0
DrDoS_UDP,0.0,0.0,0.0,196.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,215.0
MSSQL,0.0,0.0,0.0,223.0
NetBIOS,0.0,0.0,0.0,183.0
Port Scan,0.0,0.0,0.0,206.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.002680965147453083,0.011904761904761904,0.00437636761487965,168.0
TFTP,0.0,0.0,0.0,211.0
UDP,0.0,0.0,0.0,177.0
UDP-lag,0.0,0.0,0.0,205.0
Web Attack,0.0,0.0,0.0,212.0
accuracy,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.03636363636363636
macro avg,0.028650893702189987,0.028987899210018105,0.023616821819330034,4400.0
weighted avg,0.035097302793208655,0.03636363636363636,0.02912836542231396,4400.0
