,precision,recall,f1-score,support
BENIGN,0.14285714285714285,0.03636363636363636,0.057971014492753624,220.0
Bot,0.0,0.0,0.0,190.0
Brute Force,0.05714285714285714,0.010810810810810811,0.01818181818181818,185.0
DDoS,0.19090909090909092,0.315,0.23773584905660378,200.0
DoS,0.803921568627451,0.20603015075376885,0.328,199.0
DrDoS_DNS,0.0,0.0,0.0,202.0
DrDoS_LDAP,0.27611940298507465,0.17535545023696683,0.2144927536231884,211.0
DrDoS_MSSQL,0.0,0.0,0.0,198.0
DrDoS_NTP,0.019230769230769232,0.00558659217877095,0.008658008658008658,179.0
DrDoS_NetBIOS,0.0,0.0,0.0,185.0
DrDoS_SNMP,0.04145936981757877,0.25510204081632654,0.07132667617689016,196.0
DrDoS_SSDP,0.0,0.0,0.0,211.0
DrDoS_UDP,0.0,0.0,0.0,205.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
LDAP,0.061068702290076333,0.03773584905660377,0.04664723032069971,212.0
MSSQL,0.0,0.0,0.0,197.0
NetBIOS,0.25101214574898784,0.3333333333333333,0.2863741339491917,186.0
Port Scan,0.0,0.0,0.0,203.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.822429906542056,0.4467005076142132,0.5789473684210527,197.0
TFTP,0.0,0.0,0.0,213.0
UDP,0.0,0.0,0.0,207.0
UDP-lag,0.10227272727272728,0.36,0.1592920353982301,200.0
Web Attack,0.10416666666666667,0.07352941176470588,0.08620689655172414,204.0
accuracy,0.10159090909090909,0.10159090909090909,0.10159090909090909,0.10159090909090909
macro avg,0.11048424423424916,0.08675183780496679,0.0805320686473139,4400.0
weighted avg,0.13030677490527803,0.10159090909090909,0.09463096812636201,4400.0
