,precision,recall,f1-score,support
BENIGN,0.03955431754874652,0.7282051282051282,0.07503302509907529,195.0
Bot,0.0,0.0,0.0,196.0
Brute Force,0.0,0.0,0.0,195.0
DDoS,0.14361702127659576,0.2488479262672811,0.1821247892074199,217.0
DoS,0.4342629482071713,0.5956284153005464,0.5023041474654378,183.0
DrDoS_DNS,0.0,0.0,0.0,193.0
DrDoS_LDAP,0.0,0.0,0.0,202.0
DrDoS_MSSQL,0.0,0.0,0.0,212.0
DrDoS_NTP,0.0,0.0,0.0,203.0
DrDoS_NetBIOS,0.0,0.0,0.0,199.0
DrDoS_SNMP,0.0,0.0,0.0,211.0
DrDoS_SSDP,0.0,0.0,0.0,216.0
DrDoS_UDP,0.0,0.0,0.0,183.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,190.0
MSSQL,0.0,0.0,0.0,199.0
NetBIOS,0.0,0.0,0.0,189.0
Port Scan,0.0,0.0,0.0,196.0
Syn,0.0,0.0,0.0,222.0
TFTP,0.0,0.0,0.0,215.0
UDP,0.0,0.0,0.0,190.0
UDP-lag,0.0,0.0,0.0,214.0
Web Attack,0.0,0.0,0.0,180.0
accuracy,0.06931818181818182,0.06931818181818182,0.06931818181818182,0.06931818181818182
macro avg,0.024697371481300544,0.06290725879091824,0.03037847847087732,4400.0
weighted avg,0.02689729660475891,0.06931818181818182,0.03319867684966021,4400.0
