,precision,recall,f1-score,support
BENIGN,0.25,0.004310344827586207,0.00847457627118644,232.0
Bot,0.0,0.0,0.0,187.0
Brute Force,0.0,0.0,0.0,223.0
DDoS,0.0,0.0,0.0,205.0
DoS,0.0,0.0,0.0,192.0
DrDoS_DNS,0.0,0.0,0.0,216.0
DrDoS_LDAP,0.0,0.0,0.0,220.0
DrDoS_MSSQL,0.0,0.0,0.0,198.0
DrDoS_NTP,0.0,0.0,0.0,212.0
DrDoS_NetBIOS,0.0,0.0,0.0,212.0
DrDoS_SNMP,0.0,0.0,0.0,192.0
DrDoS_SSDP,0.0,0.0,0.0,186.0
DrDoS_UDP,0.0,0.0,0.0,183.0
LDAP,0.0,0.0,0.0,209.0
MSSQL,0.0,0.0,0.0,175.0
NetBIOS,0.046239837398373985,0.4945652173913043,0.0845724907063197,184.0
Port Scan,0.0,0.0,0.0,188.0
Syn,0.3465909090909091,0.5893719806763285,0.4364937388193202,207.0
TFTP,0.29750778816199375,0.9794871794871794,0.45639187574671447,195.0
UDP,0.0,0.0,0.0,176.0
UDP-lag,0.0,0.0,0.0,205.0
Web Attack,0.0,0.0,0.0,203.0
accuracy,0.09204545454545454,0.09204545454545454,0.09204545454545454,0.09204545454545454
macro avg,0.04274266066596713,0.09398794192647265,0.04481512188834276,4400.0
weighted avg,0.04460601521697904,0.09204545454545454,0.04474501356615606,4400.0
