,precision,recall,f1-score,support
BENIGN,0.04299657082563967,0.8578947368421053,0.08188897261994474,190.0
Bot,0.0,0.0,0.0,198.0
Brute Force,0.0,0.0,0.0,210.0
DDoS,0.0,0.0,0.0,209.0
DoS,0.008676789587852495,0.0182648401826484,0.011764705882352941,219.0
DrDoS_DNS,0.0,0.0,0.0,194.0
DrDoS_LDAP,0.0,0.0,0.0,199.0
DrDoS_MSSQL,0.0,0.0,0.0,221.0
DrDoS_NTP,0.0,0.0,0.0,211.0
DrDoS_NetBIOS,0.0,0.0,0.0,188.0
DrDoS_SNMP,0.0,0.0,0.0,196.0
DrDoS_SSDP,0.0,0.0,0.0,212.0
DrDoS_UDP,0.0,0.0,0.0,199.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,172.0
MSSQL,0.0,0.0,0.0,192.0
NetBIOS,0.0,0.0,0.0,193.0
Port Scan,0.0,0.0,0.0,195.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,215.0
TFTP,0.0,0.0,0.0,216.0
UDP,0.0,0.0,0.0,181.0
UDP-lag,0.0,0.0,0.0,191.0
Web Attack,0.0,0.0,0.0,199.0
accuracy,0.037954545454545456,0.037954545454545456,0.037954545454545456,0.037954545454545456
macro avg,0.0019138281634626729,0.03245035470462051,0.0034686547593443585,4400.0
weighted avg,0.0022885375855934624,0.037954545454545456,0.004121676224096544,4400.0
