,precision,recall,f1-score,support
BENIGN,0.9553072625698324,0.8382352941176471,0.8929503916449086,204.0
Bot,0.9854368932038835,0.9806763285024155,0.9830508474576272,207.0
Brute Force,0.8867924528301887,0.9894736842105263,0.9353233830845771,190.0
DDoS,0.9666666666666667,0.9712918660287081,0.9689737470167065,209.0
DoS,0.9182692307692307,0.9408866995073891,0.9294403892944039,203.0
DrDoS_DNS,0.9583333333333334,0.8846153846153846,0.92,182.0
DrDoS_LDAP,0.8979591836734694,0.946236559139785,0.9214659685863874,186.0
DrDoS_MSSQL,0.8354978354978355,0.9796954314720813,0.9018691588785047,197.0
DrDoS_NTP,1.0,0.9950248756218906,0.9975062344139651,201.0
DrDoS_NetBIOS,0.9119170984455959,0.8543689320388349,0.8822055137844611,206.0
DrDoS_SNMP,0.9702970297029703,0.9032258064516129,0.9355608591885441,217.0
DrDoS_SSDP,0.9951456310679612,0.9808612440191388,0.9879518072289156,209.0
DrDoS_UDP,0.9946808510638298,0.9739583333333334,0.9842105263157894,192.0
Exploits,0.9264705882352942,0.945,0.9356435643564357,200.0
Fuzzers,0.9554455445544554,0.9507389162561576,0.9530864197530864,203.0
Generic,0.9005524861878453,0.9055555555555556,0.9030470914127424,180.0
Infiltration,0.9574468085106383,0.9424083769633508,0.9498680738786279,191.0
LDAP,0.8888888888888888,0.96,0.9230769230769231,175.0
MSSQL,0.9027777777777778,0.9285714285714286,0.9154929577464789,210.0
NetBIOS,0.975,0.9285714285714286,0.9512195121951219,210.0
Port Scan,0.9771689497716894,0.981651376146789,0.9794050343249427,218.0
Reconnaissance,0.9901960784313726,0.9950738916256158,0.9926289926289926,203.0
Shellcode,0.9840425531914894,0.9585492227979274,0.9711286089238845,193.0
Syn,0.9710144927536232,0.9901477832512315,0.9804878048780488,203.0
TFTP,0.995,0.995,0.995,200.0
UDP,0.9946808510638298,0.9946808510638298,0.9946808510638298,188.0
UDP-lag,0.9901960784313726,0.9665071770334929,0.9782082324455206,209.0
Web Attack,1.0,0.985981308411215,0.9929411764705882,214.0
accuracy,0.9525,0.9525,0.9525,0.9525
macro avg,0.9530423059508243,0.9523924198323847,0.9520151453589293,5600.0
weighted avg,0.9539882800534316,0.9525,0.9525536026779131,5600.0
