,precision,recall,f1-score,support
BENIGN,0.05226623111474071,0.624390243902439,0.09645817633760362,205.0
Bot,0.0,0.0,0.0,188.0
Brute Force,0.0,0.0,0.0,202.0
DDoS,0.0,0.0,0.0,192.0
DoS,0.14084507042253522,0.05405405405405406,0.078125,185.0
DrDoS_DNS,0.010526315789473684,0.0045662100456621,0.006369426751592357,219.0
DrDoS_LDAP,0.0,0.0,0.0,206.0
DrDoS_MSSQL,0.5486725663716814,0.32460732984293195,0.40789473684210525,191.0
DrDoS_NTP,0.2590909090909091,0.31666666666666665,0.285,180.0
DrDoS_NetBIOS,0.08601216333622937,0.5103092783505154,0.14721189591078068,194.0
DrDoS_SNMP,0.0,0.0,0.0,188.0
DrDoS_SSDP,0.0,0.0,0.0,197.0
DrDoS_UDP,0.0,0.0,0.0,206.0
Exploits,0.0,0.0,0.0,206.0
Fuzzers,0.0,0.0,0.0,217.0
Generic,0.0,0.0,0.0,223.0
Infiltration,0.010570824524312896,0.026737967914438502,0.015151515151515152,187.0
LDAP,0.0,0.0,0.0,205.0
MSSQL,0.0,0.0,0.0,207.0
NetBIOS,0.0,0.0,0.0,174.0
Port Scan,0.0,0.0,0.0,225.0
Reconnaissance,0.0,0.0,0.0,200.0
Shellcode,0.0,0.0,0.0,192.0
Syn,0.0,0.0,0.0,203.0
TFTP,0.0,0.0,0.0,183.0
UDP,0.0,0.0,0.0,199.0
UDP-lag,0.0,0.0,0.0,207.0
Web Attack,0.0,0.0,0.0,219.0
accuracy,0.06464285714285714,0.06464285714285714,0.06464285714285714,0.06464285714285714
macro avg,0.039570860023210086,0.066476133956311,0.03700752682119989,5600.0
weighted avg,0.03735216183057418,0.06464285714285714,0.035039694907977564,5600.0
