,precision,recall,f1-score,support
BENIGN,0.20930232558139536,0.039473684210526314,0.06642066420664207,228.0
Bot,0.0,0.0,0.0,196.0
Brute Force,0.0,0.0,0.0,178.0
DDoS,0.21052631578947367,0.5161290322580645,0.29906542056074764,217.0
DoS,0.08571428571428572,0.07462686567164178,0.0797872340425532,201.0
DrDoS_DNS,0.225,0.046153846153846156,0.07659574468085106,195.0
DrDoS_LDAP,0.0,0.0,0.0,208.0
DrDoS_MSSQL,0.0,0.0,0.0,172.0
DrDoS_NTP,0.0,0.0,0.0,208.0
DrDoS_NetBIOS,0.0,0.0,0.0,206.0
DrDoS_SNMP,0.0,0.0,0.0,203.0
DrDoS_SSDP,0.0,0.0,0.0,210.0
DrDoS_UDP,0.0,0.0,0.0,199.0
Exploits,0.0,0.0,0.0,196.0
Fuzzers,0.0,0.0,0.0,215.0
Generic,0.0,0.0,0.0,201.0
Infiltration,0.0,0.0,0.0,194.0
LDAP,0.0,0.0,0.0,207.0
MSSQL,0.0,0.0,0.0,199.0
NetBIOS,0.0,0.0,0.0,199.0
Port Scan,0.151440329218107,0.9484536082474226,0.26117814052519517,194.0
Reconnaissance,0.0,0.0,0.0,194.0
Shellcode,0.0,0.0,0.0,198.0
Syn,0.07547169811320754,0.021739130434782608,0.03375527426160337,184.0
TFTP,0.0,0.0,0.0,193.0
UDP,0.0,0.0,0.0,197.0
UDP-lag,0.0,0.0,0.0,215.0
Web Attack,0.0,0.0,0.0,193.0
accuracy,0.05946428571428571,0.05946428571428571,0.05946428571428571,0.05946428571428571
macro avg,0.03419481980058819,0.058806291677724436,0.029171517081342586,5600.0
weighted avg,0.035316951519390766,0.05946428571428571,0.029981078871810476,5600.0
