,precision,recall,f1-score,support
BENIGN,0.09294871794871795,0.13744075829383887,0.11089866156787763,211.0
Bot,0.0,0.0,0.0,185.0
Brute Force,0.0,0.0,0.0,192.0
DDoS,0.0,0.0,0.0,184.0
DoS,0.0049261083743842365,0.005847953216374269,0.0053475935828877,171.0
DrDoS_DNS,0.0,0.0,0.0,201.0
DrDoS_LDAP,0.0,0.0,0.0,202.0
DrDoS_MSSQL,0.0,0.0,0.0,208.0
DrDoS_NTP,0.0,0.0,0.0,198.0
DrDoS_NetBIOS,0.0,0.0,0.0,203.0
DrDoS_SNMP,0.0,0.0,0.0,198.0
DrDoS_SSDP,0.14082599864590387,0.9811320754716981,0.246299585553582,212.0
DrDoS_UDP,0.0,0.0,0.0,193.0
Exploits,0.0,0.0,0.0,185.0
Fuzzers,0.0,0.0,0.0,204.0
Generic,0.0,0.0,0.0,195.0
Infiltration,0.0,0.0,0.0,221.0
LDAP,0.0,0.0,0.0,167.0
MSSQL,0.0,0.0,0.0,203.0
NetBIOS,0.0,0.0,0.0,208.0
Port Scan,0.0,0.0,0.0,206.0
Reconnaissance,0.0,0.0,0.0,204.0
Shellcode,0.0,0.0,0.0,204.0
Syn,0.0,0.0,0.0,204.0
TFTP,0.0,0.0,0.0,202.0
UDP,0.0,0.0,0.0,226.0
UDP-lag,0.0,0.0,0.0,207.0
Web Attack,0.0,0.0,0.0,206.0
accuracy,0.0425,0.0425,0.0425,0.0425
macro avg,0.008525029463178787,0.04015788524935397,0.012948065739440977,5600.0
weighted avg,0.008983867095023359,0.0425,0.013665994326938458,5600.0
