,precision,recall,f1-score,support
BENIGN,0.04152873909118267,0.700507614213198,0.07840909090909091,197.0
Bot,0.0,0.0,0.0,207.0
Brute Force,0.0,0.0,0.0,201.0
DDoS,0.0,0.0,0.0,180.0
DoS,0.01904761904761905,0.07920792079207921,0.030710172744721688,202.0
DrDoS_DNS,0.0,0.0,0.0,213.0
DrDoS_LDAP,0.0,0.0,0.0,208.0
DrDoS_MSSQL,0.0,0.0,0.0,191.0
DrDoS_NTP,0.0,0.0,0.0,186.0
DrDoS_NetBIOS,0.0,0.0,0.0,198.0
DrDoS_SNMP,0.0,0.0,0.0,200.0
DrDoS_SSDP,0.0,0.0,0.0,207.0
DrDoS_UDP,0.0,0.0,0.0,200.0
Exploits,0.0,0.0,0.0,203.0
Fuzzers,0.01652892561983471,0.01809954751131222,0.017278617710583154,221.0
Generic,0.0,0.0,0.0,191.0
Infiltration,0.0,0.0,0.0,217.0
LDAP,0.0,0.0,0.0,190.0
MSSQL,0.0,0.0,0.0,204.0
NetBIOS,0.0,0.0,0.0,217.0
Port Scan,0.0,0.0,0.0,185.0
Reconnaissance,0.0,0.0,0.0,176.0
Shellcode,0.0,0.0,0.0,208.0
Syn,0.0,0.0,0.0,195.0
TFTP,0.0,0.0,0.0,210.0
UDP,0.0,0.0,0.0,200.0
UDP-lag,0.0,0.0,0.0,198.0
Web Attack,0.0,0.0,0.0,195.0
accuracy,0.028214285714285713,0.028214285714285713,0.028214285714285713,0.028214285714285713
macro avg,0.0027537601342370152,0.028493395804163907,0.00451421004872842,5600.0
weighted avg,0.002800298787600983,0.028214285714285713,0.0045479679138506375,5600.0
