,precision,recall,f1-score,support
BENIGN,0.028424265547500955,0.8186813186813187,0.054941002949852505,182.0
Bot,0.0,0.0,0.0,204.0
Brute Force,0.18461538461538463,0.06557377049180328,0.0967741935483871,183.0
DDoS,0.0,0.0,0.0,197.0
DoS,0.0,0.0,0.0,200.0
DrDoS_DNS,0.0,0.0,0.0,218.0
DrDoS_LDAP,0.0,0.0,0.0,217.0
DrDoS_MSSQL,0.0,0.0,0.0,213.0
DrDoS_NTP,0.0,0.0,0.0,195.0
DrDoS_NetBIOS,0.0,0.0,0.0,190.0
DrDoS_SNMP,0.0,0.0,0.0,216.0
DrDoS_SSDP,0.0,0.0,0.0,192.0
DrDoS_UDP,0.0,0.0,0.0,197.0
Exploits,0.0,0.0,0.0,188.0
Fuzzers,0.0,0.0,0.0,209.0
Generic,0.0,0.0,0.0,190.0
Infiltration,0.24,0.09326424870466321,0.13432835820895522,193.0
LDAP,0.0,0.0,0.0,199.0
MSSQL,0.0,0.0,0.0,215.0
NetBIOS,0.0,0.0,0.0,214.0
Port Scan,0.0,0.0,0.0,181.0
Reconnaissance,0.0,0.0,0.0,220.0
Shellcode,0.0,0.0,0.0,186.0
Syn,0.0,0.0,0.0,208.0
TFTP,0.0,0.0,0.0,220.0
UDP,0.0,0.0,0.0,198.0
UDP-lag,0.0,0.0,0.0,194.0
Web Attack,0.0,0.0,0.0,181.0
accuracy,0.031964285714285716,0.031964285714285716,0.031964285714285716,0.031964285714285716
macro avg,0.016179987505817343,0.034911404924206614,0.01021584123954267,5600.0
weighted avg,0.015228184234689385,0.031964285714285716,0.00957755590902792,5600.0
