,precision,recall,f1-score,support
BENIGN,0.035398230088495575,0.8484848484848485,0.06796116504854369,198.0
Bot,0.0,0.0,0.0,198.0
Brute Force,0.0,0.0,0.0,191.0
DDoS,0.0,0.0,0.0,179.0
DoS,0.06,0.014634146341463415,0.023529411764705882,205.0
DrDoS_DNS,0.0,0.0,0.0,212.0
DrDoS_LDAP,0.0,0.0,0.0,215.0
DrDoS_MSSQL,0.0,0.0,0.0,207.0
DrDoS_NTP,0.0,0.0,0.0,202.0
DrDoS_NetBIOS,0.0,0.0,0.0,211.0
DrDoS_SNMP,0.0,0.0,0.0,191.0
DrDoS_SSDP,0.0,0.0,0.0,226.0
DrDoS_UDP,0.0,0.0,0.0,207.0
Exploits,0.0,0.0,0.0,198.0
Fuzzers,0.0,0.0,0.0,193.0
Generic,0.1015625,0.11818181818181818,0.1092436974789916,220.0
Infiltration,0.0,0.0,0.0,204.0
LDAP,0.0,0.0,0.0,201.0
MSSQL,0.0,0.0,0.0,202.0
NetBIOS,0.0,0.0,0.0,190.0
Port Scan,0.0,0.0,0.0,189.0
Reconnaissance,0.0,0.0,0.0,194.0
Shellcode,0.13059701492537312,0.3333333333333333,0.1876675603217158,210.0
Syn,0.0,0.0,0.0,205.0
TFTP,0.0,0.0,0.0,190.0
UDP,0.0,0.0,0.0,188.0
UDP-lag,0.0,0.0,0.0,189.0
Web Attack,0.0,0.0,0.0,185.0
accuracy,0.04767857142857143,0.04767857142857143,0.04767857142857143,0.04767857142857143
macro avg,0.011698490893352453,0.04695121951219512,0.013871494093355604,5600.0
weighted avg,0.01233535226640187,0.04767857142857143,0.014593507357913362,5600.0
