,precision,recall,f1-score,support
BENIGN,0.9567307692307693,0.868995633187773,0.9107551487414187,229.0
Bot,0.9844559585492227,0.9844559585492227,0.9844559585492227,193.0
Brute Force,0.8640350877192983,0.9800995024875622,0.9184149184149184,201.0
DDoS,0.9574468085106383,0.9625668449197861,0.96,187.0
DoS,0.8634146341463415,0.8894472361809045,0.8762376237623762,199.0
DrDoS_DNS,0.9312169312169312,0.8301886792452831,0.8778054862842892,212.0
DrDoS_LDAP,0.8475336322869955,0.9356435643564357,0.8894117647058823,202.0
DrDoS_MSSQL,0.8165938864628821,0.9303482587064676,0.8697674418604651,201.0
DrDoS_NTP,1.0,0.9947916666666666,0.9973890339425587,192.0
DrDoS_NetBIOS,0.9512195121951219,0.8253968253968254,0.8838526912181303,189.0
DrDoS_SNMP,0.9711538461538461,0.926605504587156,0.9483568075117371,218.0
DrDoS_SSDP,0.9837837837837838,0.9837837837837838,0.9837837837837838,185.0
DrDoS_UDP,1.0,0.9947368421052631,0.9973614775725593,190.0
Exploits,0.91324200913242,0.9615384615384616,0.936768149882904,208.0
Fuzzers,0.9154228855721394,0.934010152284264,0.9246231155778895,197.0
Generic,0.9388888888888889,0.8666666666666667,0.9013333333333333,195.0
Infiltration,0.9660194174757282,0.9386792452830188,0.9521531100478469,212.0
LDAP,0.9158415841584159,0.9685863874345549,0.9414758269720102,191.0
MSSQL,0.945273631840796,0.9223300970873787,0.9336609336609336,206.0
NetBIOS,0.981042654028436,0.971830985915493,0.9764150943396226,213.0
Port Scan,0.9952380952380953,0.9858490566037735,0.990521327014218,212.0
Reconnaissance,0.9855769230769231,0.9951456310679612,0.9903381642512077,206.0
Shellcode,0.9841269841269841,0.9841269841269841,0.9841269841269841,189.0
Syn,0.9641255605381166,0.9953703703703703,0.979498861047836,216.0
TFTP,1.0,0.9945054945054945,0.9972451790633609,182.0
UDP,0.9821428571428571,0.9763313609467456,0.9792284866468842,169.0
UDP-lag,1.0,0.9758454106280193,0.9877750611246944,207.0
Web Attack,1.0,1.0,1.0,199.0
accuracy,0.9483928571428571,0.9483928571428571,0.9483928571428571,0.9483928571428571
macro avg,0.9505187979098438,0.9492098787368685,0.9490269915513238,5600.0
weighted avg,0.9501625934414489,0.9483928571428571,0.9484284247128196,5600.0
