,precision,recall,f1-score,support
BENIGN,0.06587272050614068,0.8984771573604061,0.12274618585298197,197.0
Bot,0.0,0.0,0.0,217.0
Brute Force,0.0,0.0,0.0,183.0
DDoS,0.0,0.0,0.0,187.0
DoS,0.0,0.0,0.0,195.0
DrDoS_DNS,0.0,0.0,0.0,192.0
DrDoS_LDAP,0.47115384615384615,0.22580645161290322,0.3052959501557632,217.0
DrDoS_MSSQL,0.40606060606060607,0.3401015228426396,0.3701657458563536,197.0
DrDoS_NTP,0.8478260869565217,0.8823529411764706,0.8647450110864745,221.0
DrDoS_NetBIOS,0.07814992025518341,0.23786407766990292,0.11764705882352941,206.0
DrDoS_SNMP,0.3333333333333333,0.0049261083743842365,0.009708737864077669,203.0
DrDoS_SSDP,0.0,0.0,0.0,207.0
DrDoS_UDP,0.0,0.0,0.0,219.0
Exploits,0.0,0.0,0.0,222.0
Fuzzers,0.0,0.0,0.0,203.0
Generic,0.0,0.0,0.0,188.0
Infiltration,0.010966415352981495,0.09142857142857143,0.019583843329253364,175.0
LDAP,0.0078125,0.005076142131979695,0.006153846153846154,197.0
MSSQL,0.0,0.0,0.0,186.0
NetBIOS,0.0,0.0,0.0,175.0
Port Scan,0.0,0.0,0.0,196.0
Reconnaissance,0.0,0.0,0.0,209.0
Shellcode,0.0,0.0,0.0,201.0
Syn,0.0,0.0,0.0,193.0
TFTP,0.0,0.0,0.0,191.0
UDP,0.0,0.0,0.0,188.0
UDP-lag,0.0,0.0,0.0,231.0
Web Attack,0.0,0.0,0.0,204.0
accuracy,0.09910714285714285,0.09910714285714285,0.09910714285714285,0.09910714285714285
macro avg,0.07932769387923617,0.09592974902133064,0.06485879925436713,5600.0
weighted avg,0.08389366974864844,0.09910714285714285,0.06880485131422008,5600.0
