,precision,recall,f1-score,support
BENIGN,0.20821917808219179,0.3838383838383838,0.2699822380106572,198.0
Bot,0.0,0.0,0.0,223.0
Brute Force,0.0,0.0,0.0,185.0
DDoS,0.048598130841121495,0.40414507772020725,0.0867630700778643,193.0
DoS,0.10256410256410256,0.02030456852791878,0.03389830508474576,197.0
DrDoS_DNS,0.0,0.0,0.0,190.0
DrDoS_LDAP,0.0,0.0,0.0,209.0
DrDoS_MSSQL,0.0,0.0,0.0,214.0
DrDoS_NTP,0.0,0.0,0.0,177.0
DrDoS_NetBIOS,0.008,0.005128205128205128,0.00625,195.0
DrDoS_SNMP,0.0,0.0,0.0,209.0
DrDoS_SSDP,0.0,0.0,0.0,203.0
DrDoS_UDP,0.0,0.0,0.0,196.0
Exploits,0.0,0.0,0.0,212.0
Fuzzers,0.0,0.0,0.0,214.0
Generic,0.0,0.0,0.0,181.0
Infiltration,0.0,0.0,0.0,229.0
LDAP,0.0,0.0,0.0,204.0
MSSQL,0.0,0.0,0.0,199.0
NetBIOS,0.0,0.0,0.0,186.0
Port Scan,0.09786276715410573,0.45549738219895286,0.16111111111111112,191.0
Reconnaissance,0.0,0.0,0.0,194.0
Shellcode,0.0,0.0,0.0,193.0
Syn,0.1891891891891892,0.13658536585365855,0.15864022662889518,205.0
TFTP,0.0,0.0,0.0,206.0
UDP,0.0,0.0,0.0,181.0
UDP-lag,0.0,0.0,0.0,190.0
Web Attack,0.028112449799196786,0.061946902654867256,0.03867403314917127,226.0
accuracy,0.05142857142857143,0.05142857142857143,0.05142857142857143,0.05142857142857143
macro avg,0.024376636343925274,0.052408781640078346,0.02697567800223017,5600.0
weighted avg,0.02432159833617412,0.05142857142857143,0.02680933427244487,5600.0
