,precision,recall,f1-score,support
BENIGN,0.0345214077561085,0.806282722513089,0.06620808254514188,191.0
Bot,0.0,0.0,0.0,184.0
Brute Force,0.0,0.0,0.0,189.0
DDoS,0.0,0.0,0.0,196.0
DoS,0.043478260869565216,0.020202020202020204,0.027586206896551724,198.0
DrDoS_DNS,0.0,0.0,0.0,182.0
DrDoS_LDAP,0.0,0.0,0.0,207.0
DrDoS_MSSQL,0.0,0.0,0.0,180.0
DrDoS_NTP,0.0,0.0,0.0,193.0
DrDoS_NetBIOS,0.0,0.0,0.0,193.0
DrDoS_SNMP,0.0,0.0,0.0,213.0
DrDoS_SSDP,0.0,0.0,0.0,213.0
DrDoS_UDP,0.0,0.0,0.0,192.0
Exploits,0.0,0.0,0.0,211.0
Fuzzers,0.0,0.0,0.0,208.0
Generic,0.0,0.0,0.0,211.0
Infiltration,0.0,0.0,0.0,221.0
LDAP,0.0,0.0,0.0,185.0
MSSQL,0.0,0.0,0.0,201.0
NetBIOS,0.0,0.0,0.0,187.0
Port Scan,0.0,0.0,0.0,184.0
Reconnaissance,0.0,0.0,0.0,211.0
Shellcode,0.0,0.0,0.0,216.0
Syn,0.0,0.0,0.0,202.0
TFTP,0.0,0.0,0.0,217.0
UDP,0.0,0.0,0.0,212.0
UDP-lag,0.0,0.0,0.0,198.0
Web Attack,0.0,0.0,0.0,205.0
accuracy,0.028214285714285713,0.028214285714285713,0.028214285714285713,0.028214285714285713
macro avg,0.0027857024509169185,0.029517312239825327,0.0033497960514890573,5600.0
weighted avg,0.0027146936667126133,0.028214285714285713,0.00323353798779274,5600.0
