,precision,recall,f1-score,support
BENIGN,0.09576138147566719,0.580952380952381,0.16442048517520216,210.0
Bot,0.0,0.0,0.0,229.0
Brute Force,0.0,0.0,0.0,194.0
DDoS,0.0,0.0,0.0,173.0
DoS,0.0,0.0,0.0,170.0
DrDoS_DNS,0.05605381165919283,0.11363636363636363,0.07507507507507508,220.0
DrDoS_LDAP,0.0,0.0,0.0,206.0
DrDoS_MSSQL,0.0,0.0,0.0,212.0
DrDoS_NTP,0.17000955109837632,0.8317757009345794,0.2823156225218081,214.0
DrDoS_NetBIOS,0.0,0.0,0.0,204.0
DrDoS_SNMP,0.0,0.0,0.0,189.0
DrDoS_SSDP,0.0,0.0,0.0,203.0
DrDoS_UDP,0.0,0.0,0.0,201.0
Exploits,0.0,0.0,0.0,215.0
Fuzzers,0.0,0.0,0.0,184.0
Generic,0.0,0.0,0.0,188.0
Infiltration,0.06013021830716201,0.7772277227722773,0.11162460007109846,202.0
LDAP,0.0,0.0,0.0,204.0
MSSQL,0.0,0.0,0.0,203.0
NetBIOS,0.0,0.0,0.0,223.0
Port Scan,0.0,0.0,0.0,196.0
Reconnaissance,0.0,0.0,0.0,193.0
Shellcode,0.0,0.0,0.0,195.0
Syn,0.0,0.0,0.0,202.0
TFTP,0.0,0.0,0.0,185.0
UDP,0.0,0.0,0.0,191.0
UDP-lag,0.0,0.0,0.0,196.0
Web Attack,0.0,0.0,0.0,198.0
accuracy,0.08607142857142858,0.08607142857142858,0.08607142857142858,0.08607142857142858
macro avg,0.013641248662157084,0.08227114886770004,0.022622706530113702,5600.0
weighted avg,0.01445894226928782,0.08607142857142858,0.023930094792381746,5600.0
