,precision,recall,f1-score,support
BENIGN,0.03555878084179971,0.9751243781094527,0.06861543847365657,201.0
Bot,0.0,0.0,0.0,192.0
Brute Force,0.28205128205128205,0.05670103092783505,0.0944206008583691,194.0
DDoS,0.0,0.0,0.0,223.0
DoS,0.0,0.0,0.0,176.0
DrDoS_DNS,0.0,0.0,0.0,200.0
DrDoS_LDAP,0.0,0.0,0.0,197.0
DrDoS_MSSQL,0.0,0.0,0.0,217.0
DrDoS_NTP,0.0,0.0,0.0,206.0
DrDoS_NetBIOS,0.0,0.0,0.0,219.0
DrDoS_SNMP,0.0,0.0,0.0,185.0
DrDoS_SSDP,0.0,0.0,0.0,182.0
DrDoS_UDP,0.0,0.0,0.0,194.0
Exploits,0.0,0.0,0.0,198.0
Fuzzers,0.0,0.0,0.0,192.0
Generic,0.0,0.0,0.0,206.0
Infiltration,0.3333333333333333,0.08333333333333333,0.13333333333333333,192.0
LDAP,0.0,0.0,0.0,207.0
MSSQL,0.0,0.0,0.0,214.0
NetBIOS,0.0,0.0,0.0,210.0
Port Scan,0.0,0.0,0.0,191.0
Reconnaissance,0.0,0.0,0.0,175.0
Shellcode,0.0,0.0,0.0,216.0
Syn,0.0,0.0,0.0,203.0
TFTP,0.0,0.0,0.0,221.0
UDP,0.0,0.0,0.0,197.0
UDP-lag,0.0,0.0,0.0,197.0
Web Attack,0.0,0.0,0.0,195.0
accuracy,0.03982142857142857,0.03982142857142857,0.03982142857142857,0.03982142857142857
macro avg,0.02324797843665768,0.039827097941807894,0.010584620452334251,5600.0
weighted avg,0.022475939940562583,0.03982142857142857,0.010305232089237245,5600.0
