,precision,recall,f1-score,support
BENIGN,0.0381151832460733,0.8708133971291866,0.07303370786516854,209.0
Bot,0.0,0.0,0.0,211.0
Brute Force,0.0,0.0,0.0,194.0
DDoS,0.0,0.0,0.0,187.0
DoS,0.00865265760197775,0.030837004405286344,0.013513513513513514,227.0
DrDoS_DNS,0.0,0.0,0.0,191.0
DrDoS_LDAP,0.0,0.0,0.0,187.0
DrDoS_MSSQL,0.0,0.0,0.0,197.0
DrDoS_NTP,0.0,0.0,0.0,203.0
DrDoS_NetBIOS,0.0,0.0,0.0,224.0
DrDoS_SNMP,0.0,0.0,0.0,193.0
DrDoS_SSDP,0.0,0.0,0.0,199.0
DrDoS_UDP,0.0,0.0,0.0,207.0
Exploits,0.0,0.0,0.0,197.0
Fuzzers,0.0,0.0,0.0,197.0
Generic,0.45454545454545453,0.025380710659898477,0.04807692307692308,197.0
Infiltration,0.0,0.0,0.0,203.0
LDAP,0.0,0.0,0.0,182.0
MSSQL,0.0,0.0,0.0,191.0
NetBIOS,0.0,0.0,0.0,215.0
Port Scan,0.0,0.0,0.0,209.0
Reconnaissance,0.0,0.0,0.0,200.0
Shellcode,0.0,0.0,0.0,188.0
Syn,0.0,0.0,0.0,191.0
TFTP,0.0,0.0,0.0,202.0
UDP,0.0,0.0,0.0,197.0
UDP-lag,0.0,0.0,0.0,206.0
Web Attack,0.0,0.0,0.0,196.0
accuracy,0.03464285714285714,0.03464285714285714,0.03464285714285714,0.03464285714285714
macro avg,0.01790404626405377,0.03310825400694183,0.004808005159128755,5600.0
weighted avg,0.01776351448563086,0.03464285714285714,0.004964779706703864,5600.0
