,precision,recall,f1-score,support
BENIGN,0.0311284046692607,0.08290155440414508,0.04526166902404526,193.0
Bot,0.38205980066445183,0.5203619909502263,0.44061302681992337,221.0
Brute Force,0.1564625850340136,0.11442786069651742,0.13218390804597702,201.0
DDoS,0.0,0.0,0.0,198.0
DoS,0.0,0.0,0.0,208.0
DrDoS_DNS,0.0047169811320754715,0.00558659217877095,0.005115089514066497,179.0
DrDoS_LDAP,0.027777777777777776,0.004672897196261682,0.008,214.0
DrDoS_MSSQL,0.0,0.0,0.0,202.0
DrDoS_NTP,0.1326644370122631,0.664804469273743,0.2211895910780669,179.0
DrDoS_NetBIOS,0.05154639175257732,0.024752475247524754,0.033444816053511704,202.0
DrDoS_SNMP,0.02631578947368421,0.005154639175257732,0.008620689655172414,194.0
DrDoS_SSDP,0.24502487562189054,0.9899497487437185,0.39282153539381853,199.0
DrDoS_UDP,0.0,0.0,0.0,203.0
Exploits,0.0,0.0,0.0,190.0
Fuzzers,0.0,0.0,0.0,218.0
Generic,0.0,0.0,0.0,208.0
Infiltration,0.028169014084507043,0.020942408376963352,0.024024024024024024,191.0
LDAP,0.0,0.0,0.0,220.0
MSSQL,0.0,0.0,0.0,202.0
NetBIOS,0.0,0.0,0.0,222.0
Port Scan,0.0,0.0,0.0,211.0
Reconnaissance,0.0,0.0,0.0,186.0
Shellcode,0.0,0.0,0.0,184.0
Syn,0.0,0.0,0.0,182.0
TFTP,0.0,0.0,0.0,199.0
UDP,0.0,0.0,0.0,203.0
UDP-lag,0.0,0.0,0.0,190.0
Web Attack,0.0,0.0,0.0,201.0
accuracy,0.08607142857142858,0.08607142857142858,0.08607142857142858,0.08607142857142858
macro avg,0.038780930615089346,0.08691266558011175,0.04683122677173592,5600.0
weighted avg,0.039658136100525244,0.08607142857142858,0.04751586163570506,5600.0
