,precision,recall,f1-score,support
BENIGN,0.1,0.004901960784313725,0.009345794392523364,204.0
Bot,0.0,0.0,0.0,220.0
Brute Force,0.3235294117647059,0.5076923076923077,0.39520958083832336,195.0
DDoS,0.21755725190839695,0.29533678756476683,0.25054945054945055,193.0
DoS,0.0,0.0,0.0,179.0
DrDoS_DNS,0.0,0.0,0.0,207.0
DrDoS_LDAP,0.0,0.0,0.0,191.0
DrDoS_MSSQL,0.0,0.0,0.0,193.0
DrDoS_NTP,0.07203389830508475,0.08095238095238096,0.07623318385650224,210.0
DrDoS_NetBIOS,0.0,0.0,0.0,193.0
DrDoS_SNMP,0.0,0.0,0.0,215.0
DrDoS_SSDP,0.0,0.0,0.0,221.0
DrDoS_UDP,0.20861900097943192,0.9815668202764977,0.3441033925686591,217.0
Exploits,0.0,0.0,0.0,196.0
Fuzzers,0.21967213114754097,0.3701657458563536,0.2757201646090535,181.0
Generic,0.0,0.0,0.0,189.0
Infiltration,0.0,0.0,0.0,209.0
LDAP,0.04415011037527594,0.30612244897959184,0.07717041800643087,196.0
MSSQL,0.0,0.0,0.0,200.0
NetBIOS,0.0,0.0,0.0,193.0
Port Scan,0.5417789757412399,0.9852941176470589,0.6991304347826087,204.0
Reconnaissance,0.2,0.3837837837837838,0.26296296296296295,185.0
Shellcode,0.0,0.0,0.0,200.0
Syn,0.0,0.0,0.0,195.0
TFTP,0.0,0.0,0.0,208.0
UDP,0.0,0.0,0.0,192.0
UDP-lag,0.0,0.0,0.0,195.0
Web Attack,0.0,0.0,0.0,219.0
accuracy,0.14035714285714285,0.14035714285714285,0.14035714285714285,0.14035714285714285
macro avg,0.0688335992936313,0.13985058405489484,0.08537233509166124,5600.0
weighted avg,0.06818057414134192,0.14035714285714285,0.08469810136431352,5600.0
