,precision,recall,f1-score,support
BENIGN,0.03870007442322004,0.7959183673469388,0.07381121362668559,196.0
Bot,0.0,0.0,0.0,224.0
Brute Force,0.0,0.0,0.0,180.0
DDoS,0.2723404255319149,0.3018867924528302,0.28635346756152125,212.0
DoS,0.00819672131147541,0.015306122448979591,0.010676156583629894,196.0
DrDoS_DNS,0.0,0.0,0.0,182.0
DrDoS_LDAP,0.0,0.0,0.0,184.0
DrDoS_MSSQL,0.0,0.0,0.0,200.0
DrDoS_NTP,0.0,0.0,0.0,205.0
DrDoS_NetBIOS,0.0,0.0,0.0,214.0
DrDoS_SNMP,0.0,0.0,0.0,171.0
DrDoS_SSDP,0.0,0.0,0.0,194.0
DrDoS_UDP,0.0,0.0,0.0,194.0
Exploits,0.20610687022900764,0.12385321100917432,0.15472779369627507,218.0
Fuzzers,0.0,0.0,0.0,201.0
Generic,0.0,0.0,0.0,189.0
Infiltration,0.0,0.0,0.0,211.0
LDAP,0.0,0.0,0.0,215.0
MSSQL,0.0,0.0,0.0,196.0
NetBIOS,0.0,0.0,0.0,192.0
Port Scan,0.0,0.0,0.0,196.0
Reconnaissance,0.0,0.0,0.0,194.0
Shellcode,0.0,0.0,0.0,220.0
Syn,0.0,0.0,0.0,198.0
TFTP,0.0,0.0,0.0,205.0
UDP,0.0,0.0,0.0,218.0
UDP-lag,0.0,0.0,0.0,191.0
Web Attack,0.0,0.0,0.0,204.0
accuracy,0.044642857142857144,0.044642857142857144,0.044642857142857144,0.044642857142857144
macro avg,0.01876228898198636,0.04417730333064011,0.01877030826671828,5600.0
weighted avg,0.019974864265480344,0.044642857142857144,0.019820914055366484,5600.0
