,precision,recall,f1-score,support
BENIGN,0.024152542372881357,0.6229508196721312,0.04650214154599225,183.0
Bot,0.0,0.0,0.0,192.0
Brute Force,0.03954802259887006,0.03017241379310345,0.034229828850855744,232.0
DDoS,0.0,0.0,0.0,188.0
DoS,0.0,0.0,0.0,226.0
DrDoS_DNS,0.0,0.0,0.0,190.0
DrDoS_LDAP,0.0,0.0,0.0,180.0
DrDoS_MSSQL,0.0,0.0,0.0,217.0
DrDoS_NTP,0.0,0.0,0.0,203.0
DrDoS_NetBIOS,0.0,0.0,0.0,193.0
DrDoS_SNMP,0.0,0.0,0.0,186.0
DrDoS_SSDP,0.0,0.0,0.0,197.0
DrDoS_UDP,0.0,0.0,0.0,186.0
Exploits,0.0,0.0,0.0,196.0
Fuzzers,0.0,0.0,0.0,193.0
Generic,0.0,0.0,0.0,208.0
Infiltration,0.0,0.0,0.0,191.0
LDAP,0.0,0.0,0.0,168.0
MSSQL,0.0,0.0,0.0,194.0
NetBIOS,0.0,0.0,0.0,199.0
Port Scan,0.014492753623188406,0.004524886877828055,0.006896551724137931,221.0
Reconnaissance,0.0,0.0,0.0,196.0
Shellcode,0.0,0.0,0.0,201.0
Syn,0.0,0.0,0.0,205.0
TFTP,0.0,0.0,0.0,196.0
UDP,0.0,0.0,0.0,228.0
UDP-lag,0.0,0.0,0.0,210.0
Web Attack,0.0,0.0,0.0,221.0
accuracy,0.021785714285714287,0.021785714285714287,0.021785714285714287,0.021785714285714287
macro avg,0.0027926185212478506,0.023487432869395093,0.003129590075749497,5600.0
weighted avg,0.0029996348299821036,0.021785714285714287,0.003209883951312428,5600.0
