,precision,recall,f1-score,support
BENIGN,0.4576271186440678,0.13432835820895522,0.2076923076923077,201.0
Bot,0.17683881064162754,0.49130434782608695,0.2600690448791715,230.0
Brute Force,0.0,0.0,0.0,225.0
DDoS,0.0,0.0,0.0,200.0
DoS,0.0,0.0,0.0,200.0
DrDoS_DNS,0.0018484288354898336,0.005,0.002699055330634278,200.0
DrDoS_LDAP,0.2571428571428571,0.08450704225352113,0.127208480565371,213.0
DrDoS_MSSQL,0.027777777777777776,0.005434782608695652,0.00909090909090909,184.0
DrDoS_NTP,0.2606951871657754,0.9701492537313433,0.410958904109589,201.0
DrDoS_NetBIOS,0.3431372549019608,0.16666666666666666,0.22435897435897437,210.0
DrDoS_SNMP,0.05263157894736842,0.005076142131979695,0.009259259259259259,197.0
DrDoS_SSDP,0.34452296819787986,0.9375,0.5038759689922481,208.0
DrDoS_UDP,0.0,0.0,0.0,214.0
Exploits,0.0,0.0,0.0,206.0
Fuzzers,0.0,0.0,0.0,192.0
Generic,0.0,0.0,0.0,190.0
Infiltration,0.03,0.033707865168539325,0.031746031746031744,178.0
LDAP,0.007462686567164179,0.01904761904761905,0.010723860589812333,210.0
MSSQL,0.0,0.0,0.0,179.0
NetBIOS,0.05645933014354067,0.32065217391304346,0.09601301871440195,184.0
Port Scan,0.0,0.0,0.0,215.0
Reconnaissance,0.0,0.0,0.0,187.0
Shellcode,0.0,0.0,0.0,194.0
Syn,0.0,0.0,0.0,198.0
TFTP,0.0,0.0,0.0,202.0
UDP,0.0,0.0,0.0,197.0
UDP-lag,0.0,0.0,0.0,188.0
Web Attack,0.0,0.0,0.0,197.0
accuracy,0.11696428571428572,0.11696428571428572,0.11696428571428572,0.11696428571428572
macro avg,0.07200514282019677,0.11333479469844467,0.0676319934045968,5600.0
weighted avg,0.074409221117448,0.11696428571428572,0.07014063904493202,5600.0
