,precision,recall,f1-score,support
BENIGN,0.031092267312739754,0.9625,0.060238607471151964,160.0
Bot,0.0,0.0,0.0,196.0
Brute Force,0.0,0.0,0.0,213.0
DDoS,0.0,0.0,0.0,178.0
DoS,0.001584786053882726,0.0045871559633027525,0.002355712603062426,218.0
DrDoS_DNS,0.0,0.0,0.0,197.0
DrDoS_LDAP,0.0,0.0,0.0,193.0
DrDoS_MSSQL,0.0,0.0,0.0,216.0
DrDoS_NTP,0.0,0.0,0.0,188.0
DrDoS_NetBIOS,0.0,0.0,0.0,197.0
DrDoS_SNMP,0.0,0.0,0.0,217.0
DrDoS_SSDP,0.0,0.0,0.0,209.0
DrDoS_UDP,0.0,0.0,0.0,211.0
Exploits,0.0,0.0,0.0,203.0
Fuzzers,0.0,0.0,0.0,194.0
Generic,0.0,0.0,0.0,208.0
Infiltration,0.0,0.0,0.0,212.0
LDAP,0.0,0.0,0.0,202.0
MSSQL,0.0,0.0,0.0,220.0
NetBIOS,0.0,0.0,0.0,216.0
Port Scan,0.0,0.0,0.0,193.0
Reconnaissance,0.0,0.0,0.0,199.0
Shellcode,0.0,0.0,0.0,188.0
Syn,0.0,0.0,0.0,201.0
TFTP,0.0,0.0,0.0,168.0
UDP,0.0,0.0,0.0,195.0
UDP-lag,0.0,0.0,0.0,208.0
Web Attack,0.0,0.0,0.0,200.0
accuracy,0.027678571428571427,0.027678571428571427,0.027678571428571427,0.027678571428571427
macro avg,0.0011670376202365172,0.03453882699868938,0.0022355114312219426,5600.0
weighted avg,0.0009500439517472847,0.027678571428571427,0.0018128075969378434,5600.0
