,precision,recall,f1-score,support
BENIGN,0.0829817158931083,0.28921568627450983,0.12896174863387977,204.0
Bot,0.0,0.0,0.0,192.0
Brute Force,0.007633587786259542,0.005076142131979695,0.006097560975609756,197.0
DDoS,0.0,0.0,0.0,201.0
DoS,0.0,0.0,0.0,209.0
DrDoS_DNS,0.0,0.0,0.0,217.0
DrDoS_LDAP,0.0,0.0,0.0,181.0
DrDoS_MSSQL,0.0,0.0,0.0,224.0
DrDoS_NTP,1.0,0.10144927536231885,0.18421052631578946,207.0
DrDoS_NetBIOS,0.7142857142857143,0.07425742574257425,0.13452914798206278,202.0
DrDoS_SNMP,0.125,0.26865671641791045,0.17061611374407584,201.0
DrDoS_SSDP,0.0,0.0,0.0,223.0
DrDoS_UDP,0.0,0.0,0.0,175.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.030848329048843187,0.0625,0.04130808950086059,192.0
LDAP,0.0,0.0,0.0,187.0
MSSQL,0.006006006006006006,0.018779342723004695,0.009101251422070534,213.0
NetBIOS,0.0,0.0,0.0,179.0
Port Scan,0.0,0.0,0.0,187.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,212.0
TFTP,0.0,0.0,0.0,187.0
UDP,0.0,0.0,0.0,210.0
UDP-lag,0.0,0.0,0.0,189.0
Web Attack,0.0,0.0,0.0,211.0
accuracy,0.03608695652173913,0.03608695652173913,0.03608695652173913,0.03608695652173913
macro avg,0.0702412626078547,0.02928337816615349,0.02410087280622674,4600.0
weighted avg,0.08740107816923015,0.03608695652173913,0.029778139494103736,4600.0
