,precision,recall,f1-score,support
BENIGN,0.967741935483871,0.9375,0.9523809523809523,192.0
Bot,1.0,0.9894736842105263,0.9947089947089947,190.0
Brute Force,0.9255813953488372,0.9754901960784313,0.9498806682577565,204.0
DDoS,0.9894736842105263,0.9740932642487047,0.9817232375979112,193.0
DoS,0.92,0.9246231155778895,0.9223057644110275,199.0
DrDoS_DNS,0.9723502304147466,0.9768518518518519,0.9745958429561201,216.0
DrDoS_LDAP,0.9754901960784313,0.961352657004831,0.9683698296836983,207.0
DrDoS_MSSQL,0.9310344827586207,0.9742268041237113,0.9521410579345088,194.0
DrDoS_NTP,0.9949494949494949,0.985,0.9899497487437185,200.0
DrDoS_NetBIOS,0.9485981308411215,0.9530516431924883,0.9508196721311475,213.0
DrDoS_SNMP,0.967032967032967,0.9361702127659575,0.9513513513513514,188.0
DrDoS_SSDP,0.978494623655914,0.994535519125683,0.986449864498645,183.0
DrDoS_UDP,1.0,0.9896373056994818,0.9947916666666666,193.0
Infiltration,0.968421052631579,0.9533678756476683,0.9608355091383812,193.0
LDAP,0.9345794392523364,0.9615384615384616,0.9478672985781991,208.0
MSSQL,0.9642857142857143,0.9174757281553398,0.9402985074626866,206.0
NetBIOS,0.9764150943396226,0.9764150943396226,0.9764150943396226,212.0
Port Scan,0.9948979591836735,0.9898477157360406,0.9923664122137404,197.0
Syn,0.9583333333333334,1.0,0.9787234042553191,207.0
TFTP,1.0,0.9747474747474747,0.9872122762148338,198.0
UDP,0.9902439024390244,1.0,0.9950980392156863,203.0
UDP-lag,0.9764150943396226,0.9857142857142858,0.981042654028436,210.0
Web Attack,0.9895833333333334,0.979381443298969,0.9844559585492227,194.0
accuracy,0.97,0.97,0.97,0.97
macro avg,0.970605307126642,0.970021492741627,0.970164513274723,4600.0
weighted avg,0.9703288461777196,0.97,0.9700153675647186,4600.0
