,precision,recall,f1-score,support
BENIGN,0.03132588635259835,0.6683937823834197,0.059846903270702856,193.0
Bot,0.0,0.0,0.0,209.0
Brute Force,0.4268292682926829,0.19337016574585636,0.2661596958174905,181.0
DDoS,0.0,0.0,0.0,209.0
DoS,0.06382978723404255,0.031578947368421054,0.04225352112676056,190.0
DrDoS_DNS,0.0,0.0,0.0,198.0
DrDoS_LDAP,0.0,0.0,0.0,206.0
DrDoS_MSSQL,0.0,0.0,0.0,197.0
DrDoS_NTP,0.0,0.0,0.0,211.0
DrDoS_NetBIOS,0.0,0.0,0.0,190.0
DrDoS_SNMP,0.0,0.0,0.0,205.0
DrDoS_SSDP,0.0,0.0,0.0,192.0
DrDoS_UDP,0.0,0.0,0.0,214.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.2,0.04081632653061224,0.06779661016949153,196.0
LDAP,0.0,0.0,0.0,202.0
MSSQL,0.0,0.0,0.0,198.0
NetBIOS,0.0,0.0,0.0,194.0
Port Scan,0.0,0.0,0.0,196.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,211.0
TFTP,0.0,0.0,0.0,198.0
UDP,0.0,0.0,0.0,191.0
UDP-lag,0.0,0.0,0.0,213.0
Web Attack,0.0,0.0,0.0,206.0
accuracy,0.03869565217391304,0.03869565217391304,0.03869565217391304,0.03869565217391304
macro avg,0.028879397675172953,0.03736636888113237,0.017442269215377816,4600.0
weighted avg,0.02926731591336851,0.03869565217391304,0.01761775258293832,4600.0
