,precision,recall,f1-score,support
BENIGN,0.06072607260726073,0.863849765258216,0.11347517730496454,213.0
Bot,0.21076233183856502,0.48704663212435234,0.2942097026604069,193.0
Brute Force,0.06756756756756757,0.22727272727272727,0.10416666666666667,220.0
DDoS,0.0,0.0,0.0,203.0
DoS,0.014492753623188406,0.02030456852791878,0.016913319238900635,197.0
DrDoS_DNS,0.0,0.0,0.0,194.0
DrDoS_LDAP,0.0,0.0,0.0,197.0
DrDoS_MSSQL,0.0,0.0,0.0,216.0
DrDoS_NTP,0.0,0.0,0.0,175.0
DrDoS_NetBIOS,0.0,0.0,0.0,188.0
DrDoS_SNMP,0.0,0.0,0.0,198.0
DrDoS_SSDP,0.0,0.0,0.0,211.0
DrDoS_UDP,0.0,0.0,0.0,178.0
Infiltration,0.056338028169014086,0.02,0.02952029520295203,200.0
LDAP,0.0,0.0,0.0,208.0
MSSQL,0.0,0.0,0.0,193.0
NetBIOS,0.0,0.0,0.0,202.0
Port Scan,0.0,0.0,0.0,213.0
Syn,0.0,0.0,0.0,209.0
TFTP,0.0,0.0,0.0,195.0
UDP,0.0,0.0,0.0,194.0
UDP-lag,0.0,0.0,0.0,201.0
Web Attack,0.0,0.0,0.0,202.0
accuracy,0.07304347826086957,0.07304347826086957,0.07304347826086957,0.07304347826086957
macro avg,0.017821163208938947,0.07036842144274845,0.02427326787277786,4600.0
weighted avg,0.017956375320135956,0.07304347826086957,0.02458811629929054,4600.0
