,precision,recall,f1-score,support
BENIGN,0.05163557718302244,0.8883720930232558,0.0975983648441492,215.0
Bot,0.0,0.0,0.0,200.0
Brute Force,0.17261904761904762,0.14427860696517414,0.15718157181571815,201.0
DDoS,0.0,0.0,0.0,201.0
DoS,0.028089887640449437,0.09009009009009009,0.042826552462526764,222.0
DrDoS_DNS,0.0,0.0,0.0,198.0
DrDoS_LDAP,0.0,0.0,0.0,211.0
DrDoS_MSSQL,0.0,0.0,0.0,176.0
DrDoS_NTP,0.0,0.0,0.0,210.0
DrDoS_NetBIOS,0.0,0.0,0.0,199.0
DrDoS_SNMP,0.0,0.0,0.0,191.0
DrDoS_SSDP,0.0,0.0,0.0,227.0
DrDoS_UDP,0.0,0.0,0.0,164.0
Infiltration,0.0,0.0,0.0,208.0
LDAP,0.0,0.0,0.0,215.0
MSSQL,0.0,0.0,0.0,184.0
NetBIOS,0.0,0.0,0.0,179.0
Port Scan,0.0,0.0,0.0,206.0
Syn,0.0,0.0,0.0,196.0
TFTP,0.0,0.0,0.0,207.0
UDP,0.0,0.0,0.0,200.0
UDP-lag,0.0,0.0,0.0,189.0
Web Attack,0.0,0.0,0.0,201.0
accuracy,0.05217391304347826,0.05217391304347826,0.05217391304347826,0.05217391304347826
macro avg,0.010971500540979107,0.048814816959935656,0.012939412570538876,4600.0
weighted avg,0.01131174624390395,0.05217391304347826,0.013496660657202689,4600.0
