,precision,recall,f1-score,support
BENIGN,0.048600883652430045,0.8461538461538461,0.09192200557103064,195.0
Bot,0.0,0.0,0.0,202.0
Brute Force,0.0,0.0,0.0,188.0
DDoS,0.0,0.0,0.0,199.0
DoS,0.019784172661870502,0.051643192488262914,0.02860858257477243,213.0
DrDoS_DNS,0.0,0.0,0.0,207.0
DrDoS_LDAP,0.0,0.0,0.0,217.0
DrDoS_MSSQL,0.0,0.0,0.0,209.0
DrDoS_NTP,0.0,0.0,0.0,190.0
DrDoS_NetBIOS,0.0,0.0,0.0,208.0
DrDoS_SNMP,0.0,0.0,0.0,203.0
DrDoS_SSDP,0.0,0.0,0.0,181.0
DrDoS_UDP,0.0,0.0,0.0,186.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,194.0
LDAP,0.0,0.0,0.0,197.0
MSSQL,0.0,0.0,0.0,207.0
NetBIOS,0.0,0.0,0.0,183.0
Port Scan,0.0,0.0,0.0,194.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,206.0
TFTP,0.0,0.0,0.0,186.0
UDP,0.0,0.0,0.0,209.0
UDP-lag,0.0,0.0,0.0,208.0
Web Attack,0.0,0.0,0.0,218.0
accuracy,0.03826086956521739,0.03826086956521739,0.03826086956521739,0.03826086956521739
macro avg,0.002442323439796448,0.032064179951503895,0.00430466386235011,4600.0
weighted avg,0.00297634806287006,0.03826086956521739,0.005221395472777718,4600.0
