,precision,recall,f1-score,support
BENIGN,0.07888040712468193,0.31313131313131315,0.12601626016260162,198.0
Bot,0.0,0.0,0.0,191.0
Brute Force,0.20952380952380953,0.10628019323671498,0.14102564102564102,207.0
DDoS,0.0,0.0,0.0,207.0
DoS,0.0031746031746031746,0.010362694300518135,0.004860267314702308,193.0
DrDoS_DNS,0.15677966101694915,0.2,0.17577197149643706,185.0
DrDoS_LDAP,0.0,0.0,0.0,225.0
DrDoS_MSSQL,1.0,0.009569377990430622,0.018957345971563982,209.0
DrDoS_NTP,0.3344262295081967,0.9444444444444444,0.4939467312348668,216.0
DrDoS_NetBIOS,0.8316831683168316,0.4019138755980861,0.5419354838709678,209.0
DrDoS_SNMP,0.15479876160990713,0.26881720430107525,0.19646365422396855,186.0
DrDoS_SSDP,0.0,0.0,0.0,219.0
DrDoS_UDP,0.0,0.0,0.0,186.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.12096774193548387,0.08875739644970414,0.10238907849829351,169.0
LDAP,0.0784313725490196,0.018779342723004695,0.030303030303030304,213.0
MSSQL,0.0,0.0,0.0,192.0
NetBIOS,0.0,0.0,0.0,186.0
Port Scan,0.5248447204968945,0.7788018433179723,0.62708719851577,217.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,194.0
TFTP,0.0,0.0,0.0,206.0
UDP,0.0,0.0,0.0,187.0
UDP-lag,0.0,0.0,0.0,192.0
Web Attack,0.04878048780487805,0.009389671361502348,0.015748031496062992,213.0
accuracy,0.14195652173913043,0.14195652173913043,0.14195652173913043,0.14195652173913043
macro avg,0.1311959615948613,0.116675828031658,0.09164832200421874,4600.0
weighted avg,0.1595408872358008,0.14195652173913043,0.11114157849997833,4600.0
