,precision,recall,f1-score,support
BENIGN,0.9637305699481865,0.9393939393939394,0.9514066496163683,198.0
Bot,1.0,0.9949494949494949,0.9974683544303797,198.0
Brute Force,0.8789237668161435,0.9702970297029703,0.9223529411764706,202.0
DDoS,0.9684684684684685,0.9728506787330317,0.9706546275395034,221.0
DoS,0.9775280898876404,0.9109947643979057,0.943089430894309,191.0
DrDoS_DNS,0.975609756097561,0.9569377990430622,0.966183574879227,209.0
DrDoS_LDAP,0.9553072625698324,0.9047619047619048,0.9293478260869565,189.0
DrDoS_MSSQL,0.8968609865470852,0.966183574879227,0.9302325581395349,207.0
DrDoS_NTP,0.995049504950495,0.9852941176470589,0.9901477832512315,204.0
DrDoS_NetBIOS,0.9510869565217391,0.9162303664921466,0.9333333333333333,191.0
DrDoS_SNMP,0.9447236180904522,0.9740932642487047,0.9591836734693877,193.0
DrDoS_SSDP,0.9781420765027322,0.9835164835164835,0.9808219178082191,182.0
DrDoS_UDP,1.0,0.9846153846153847,0.9922480620155039,195.0
Infiltration,0.9652173913043478,0.9779735682819384,0.9715536105032823,227.0
LDAP,0.9521276595744681,0.9781420765027322,0.9649595687331537,183.0
MSSQL,0.9565217391304348,0.946236559139785,0.9513513513513514,186.0
NetBIOS,0.9903846153846154,0.9856459330143541,0.988009592326139,209.0
Port Scan,1.0,0.9783783783783784,0.9890710382513661,185.0
Syn,0.9735449735449735,0.9945945945945946,0.983957219251337,185.0
TFTP,1.0,0.9953703703703703,0.9976798143851509,216.0
UDP,0.9898477157360406,0.9948979591836735,0.9923664122137404,196.0
UDP-lag,0.9851485148514851,0.9660194174757282,0.9754901960784313,206.0
Web Attack,0.9911504424778761,0.986784140969163,0.9889624724061811,227.0
accuracy,0.9684782608695652,0.9684782608695652,0.9684782608695652,0.9684782608695652
macro avg,0.9691032221045469,0.9680070347953058,0.9682553047017636,4600.0
weighted avg,0.9692396662492053,0.9684782608695652,0.9685621178395705,4600.0
