,precision,recall,f1-score,support
BENIGN,0.13649851632047477,0.2222222222222222,0.16911764705882354,207.0
Bot,0.0,0.0,0.0,210.0
Brute Force,0.7790697674418605,0.3316831683168317,0.4652777777777778,202.0
DDoS,0.0,0.0,0.0,218.0
DoS,0.029411764705882353,0.009950248756218905,0.01486988847583643,201.0
DrDoS_DNS,0.25555555555555554,0.24083769633507854,0.24797843665768193,191.0
DrDoS_LDAP,0.0,0.0,0.0,201.0
DrDoS_MSSQL,0.0,0.0,0.0,195.0
DrDoS_NTP,0.2292134831460674,0.5730337078651685,0.3274478330658106,178.0
DrDoS_NetBIOS,0.11627906976744186,0.20202020202020202,0.14760147601476015,198.0
DrDoS_SNMP,0.0,0.0,0.0,200.0
DrDoS_SSDP,0.0,0.0,0.0,185.0
DrDoS_UDP,0.0,0.0,0.0,199.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,205.0
LDAP,0.0,0.0,0.0,194.0
MSSQL,0.023008849557522124,0.0625,0.03363518758085381,208.0
NetBIOS,0.43636363636363634,0.12307692307692308,0.192,195.0
Port Scan,0.0,0.0,0.0,195.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0020387359836901123,0.009433962264150943,0.003352891869237217,212.0
TFTP,0.0,0.0,0.0,201.0
UDP,0.0,0.0,0.0,193.0
UDP-lag,0.23441734417344173,0.7489177489177489,0.3570691434468524,231.0
Web Attack,0.0,0.0,0.0,181.0
accuracy,0.11195652173913044,0.11195652173913044,0.11195652173913044,0.11195652173913044
macro avg,0.08006631153627046,0.09013128142051945,0.06994108149812979,4600.0
weighted avg,0.09752886649217872,0.11195652173913044,0.08575802256597903,4600.0
