,precision,recall,f1-score,support
BENIGN,0.011627906976744186,0.0967741935483871,0.020761245674740483,186.0
Bot,0.0,0.0,0.0,194.0
Brute Force,0.0,0.0,0.0,197.0
DDoS,0.0,0.0,0.0,183.0
DoS,0.0,0.0,0.0,211.0
DrDoS_DNS,0.22727272727272727,0.10416666666666667,0.14285714285714285,192.0
DrDoS_LDAP,0.0,0.0,0.0,230.0
DrDoS_MSSQL,0.0,0.0,0.0,196.0
DrDoS_NTP,0.0,0.0,0.0,209.0
DrDoS_NetBIOS,0.008016032064128256,0.019801980198019802,0.011412268188302425,202.0
DrDoS_SNMP,0.0,0.0,0.0,206.0
DrDoS_SSDP,0.0,0.0,0.0,224.0
DrDoS_UDP,0.45569620253164556,0.9183673469387755,0.6091370558375635,196.0
Infiltration,0.0,0.0,0.0,171.0
LDAP,0.0008257638315441783,0.0049504950495049506,0.0014154281670205238,202.0
MSSQL,0.0,0.0,0.0,187.0
NetBIOS,0.0,0.0,0.0,208.0
Port Scan,0.0,0.0,0.0,196.0
Syn,0.0,0.0,0.0,208.0
TFTP,0.0,0.0,0.0,203.0
UDP,0.0,0.0,0.0,199.0
UDP-lag,0.0,0.0,0.0,195.0
Web Attack,0.015151515151515152,0.004878048780487805,0.007380073800738007,205.0
accuracy,0.04869565217391304,0.04869565217391304,0.04869565217391304,0.04869565217391304
macro avg,0.031243049905578465,0.04995385787747138,0.034476661501109035,4600.0
weighted avg,0.030436459436353692,0.04869565217391304,0.03364894257851351,4600.0
