,precision,recall,f1-score,support
BENIGN,0.03493975903614458,0.7142857142857143,0.06662072134160349,203.0
Bot,0.0,0.0,0.0,196.0
Brute Force,0.0,0.0,0.0,215.0
DDoS,0.0,0.0,0.0,177.0
DoS,0.05952380952380952,0.02564102564102564,0.035842293906810034,195.0
DrDoS_DNS,0.0,0.0,0.0,192.0
DrDoS_LDAP,0.0,0.0,0.0,183.0
DrDoS_MSSQL,0.0,0.0,0.0,191.0
DrDoS_NTP,0.0,0.0,0.0,199.0
DrDoS_NetBIOS,0.0,0.0,0.0,203.0
DrDoS_SNMP,0.0,0.0,0.0,210.0
DrDoS_SSDP,0.0,0.0,0.0,204.0
DrDoS_UDP,0.0,0.0,0.0,215.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,201.0
LDAP,0.0,0.0,0.0,188.0
MSSQL,0.0,0.0,0.0,196.0
NetBIOS,0.0,0.0,0.0,182.0
Port Scan,0.0,0.0,0.0,218.0
Syn,0.0,0.0,0.0,203.0
TFTP,0.0,0.0,0.0,222.0
UDP,0.0,0.0,0.0,222.0
UDP-lag,0.0,0.0,0.0,196.0
Web Attack,0.0,0.0,0.0,189.0
accuracy,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.03260869565217391
macro avg,0.0037785427423981644,0.0295970695970696,0.004098520609936541,4600.0
weighted avg,0.004065198682930479,0.03260869565217391,0.004459402987863796,4600.0
