,precision,recall,f1-score,support
BENIGN,0.010309278350515464,0.0049261083743842365,0.006666666666666667,203.0
Bot,0.0,0.0,0.0,224.0
Brute Force,0.0,0.0,0.0,204.0
DDoS,0.0,0.0,0.0,213.0
DoS,0.0,0.0,0.0,191.0
DrDoS_DNS,0.0,0.0,0.0,204.0
DrDoS_LDAP,0.0,0.0,0.0,203.0
DrDoS_MSSQL,0.0,0.0,0.0,199.0
DrDoS_NTP,0.0,0.0,0.0,208.0
DrDoS_NetBIOS,0.0,0.0,0.0,203.0
DrDoS_SNMP,0.0,0.0,0.0,209.0
DrDoS_SSDP,0.0,0.0,0.0,191.0
DrDoS_UDP,0.0,0.0,0.0,182.0
Infiltration,0.0,0.0,0.0,205.0
LDAP,0.0,0.0,0.0,200.0
MSSQL,0.0,0.0,0.0,172.0
NetBIOS,0.0,0.0,0.0,204.0
Port Scan,0.0,0.0,0.0,168.0
Syn,0.009340338587273789,0.08465608465608465,0.016824395373291272,189.0
TFTP,0.0,0.0,0.0,190.0
UDP,0.0,0.0,0.0,223.0
UDP-lag,0.13703208556149732,0.9808612440191388,0.2404692082111437,209.0
Web Attack,0.0,0.0,0.0,206.0
accuracy,0.04826086956521739,0.04826086956521739,0.04826086956521739,0.04826086956521739
macro avg,0.00681224793475159,0.046541019002156854,0.011476533489178332,4600.0
weighted avg,0.007064742039239636,0.04826086956521739,0.011911132298916178,4600.0
