,precision,recall,f1-score,support
BENIGN,0.05263157894736842,0.9,0.09944751381215469,200.0
Bot,0.0,0.0,0.0,205.0
Brute Force,0.0,0.0,0.0,211.0
DDoS,0.0,0.0,0.0,194.0
DoS,0.004319654427645789,0.01818181818181818,0.006980802792321117,220.0
DrDoS_DNS,0.0,0.0,0.0,200.0
DrDoS_LDAP,0.0,0.0,0.0,193.0
DrDoS_MSSQL,0.0,0.0,0.0,205.0
DrDoS_NTP,0.0,0.0,0.0,185.0
DrDoS_NetBIOS,0.0,0.0,0.0,207.0
DrDoS_SNMP,0.0,0.0,0.0,217.0
DrDoS_SSDP,0.0,0.0,0.0,232.0
DrDoS_UDP,0.0,0.0,0.0,195.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,193.0
LDAP,0.0,0.0,0.0,167.0
MSSQL,0.0,0.0,0.0,202.0
NetBIOS,0.0,0.0,0.0,190.0
Port Scan,0.0,0.0,0.0,201.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,181.0
TFTP,0.0,0.0,0.0,188.0
UDP,0.0,0.0,0.0,201.0
UDP-lag,0.0,0.0,0.0,202.0
Web Attack,0.0,0.0,0.0,211.0
accuracy,0.04,0.04,0.04,0.04
macro avg,0.0020339726205362216,0.032792207792207796,0.0038010113073027076,4600.0
weighted avg,0.002494921687729512,0.04,0.004657669429726431,4600.0
