,precision,recall,f1-score,support
BENIGN,0.07142857142857142,0.21965317919075145,0.10780141843971631,173.0
Bot,0.0,0.0,0.0,203.0
Brute Force,0.4489795918367347,0.11702127659574468,0.18565400843881857,188.0
DDoS,0.0,0.0,0.0,207.0
DoS,0.0,0.0,0.0,193.0
DrDoS_DNS,0.0,0.0,0.0,185.0
DrDoS_LDAP,0.3,0.016129032258064516,0.030612244897959183,186.0
DrDoS_MSSQL,0.0,0.0,0.0,207.0
DrDoS_NTP,0.4713375796178344,0.7551020408163265,0.5803921568627451,196.0
DrDoS_NetBIOS,0.0,0.0,0.0,201.0
DrDoS_SNMP,0.04895104895104895,0.03626943005181347,0.041666666666666664,193.0
DrDoS_SSDP,0.0,0.0,0.0,203.0
DrDoS_UDP,0.24363233665559247,0.9865470852017937,0.3907637655417407,223.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.02631578947368421,0.0051813471502590676,0.008658008658008658,193.0
LDAP,0.0,0.0,0.0,211.0
MSSQL,0.0,0.0,0.0,211.0
NetBIOS,0.0,0.0,0.0,187.0
Port Scan,0.056338028169014086,0.06091370558375635,0.05853658536585366,197.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,206.0
TFTP,0.0,0.0,0.0,208.0
UDP,0.0,0.0,0.0,203.0
UDP-lag,0.0,0.0,0.0,198.0
Web Attack,0.0,0.0,0.0,228.0
accuracy,0.09804347826086957,0.09804347826086957,0.09804347826086957,0.09804347826086957
macro avg,0.059535105219017156,0.07845775345887536,0.05014588767398247,4600.0
weighted avg,0.07063099438413281,0.09804347826086957,0.061171310574615424,4600.0
