,precision,recall,f1-score,support
BENIGN,0.8552631578947368,0.3672316384180791,0.5138339920948617,177.0
Bot,0.80078125,1.0,0.8893709327548807,205.0
Brute Force,0.6545454545454545,0.9515418502202643,0.7755834829443446,227.0
DDoS,0.8195876288659794,0.9464285714285714,0.8784530386740331,168.0
DoS,0.9612403100775194,0.6631016042780749,0.7848101265822784,187.0
DrDoS_DNS,0.5634920634920635,0.33490566037735847,0.42011834319526625,212.0
DrDoS_LDAP,0.6842105263157895,0.609375,0.6446280991735537,192.0
DrDoS_MSSQL,0.5379939209726444,0.8232558139534883,0.6507352941176471,215.0
DrDoS_NTP,0.6394557823129252,0.9353233830845771,0.7595959595959596,201.0
DrDoS_NetBIOS,0.743801652892562,0.430622009569378,0.5454545454545454,209.0
DrDoS_SNMP,0.609271523178808,0.8975609756097561,0.7258382642998028,205.0
DrDoS_SSDP,0.9712918660287081,0.9666666666666667,0.9689737470167065,210.0
DrDoS_UDP,0.9689119170984456,0.9894179894179894,0.9790575916230366,189.0
Infiltration,1.0,0.45614035087719296,0.6265060240963856,171.0
LDAP,0.8074866310160428,0.722488038277512,0.7626262626262627,209.0
MSSQL,0.9444444444444444,0.7195767195767195,0.8168168168168168,189.0
NetBIOS,0.9766081871345029,0.8520408163265306,0.9100817438692098,196.0
Port Scan,0.8518518518518519,0.981042654028436,0.9118942731277533,211.0
Syn,0.7654320987654321,1.0,0.8671328671328671,186.0
TFTP,1.0,1.0,1.0,203.0
UDP,1.0,0.9903381642512077,0.9951456310679612,207.0
UDP-lag,0.9809523809523809,0.9716981132075472,0.976303317535545,212.0
Web Attack,0.989247311827957,0.8401826484018264,0.908641975308642,219.0
accuracy,0.806304347826087,0.806304347826087,0.806304347826087,0.806304347826087
macro avg,0.8315595634638369,0.8021277681726598,0.7961566230047111,4600.0
weighted avg,0.8283572166104397,0.806304347826087,0.7974666856609852,4600.0
