,precision,recall,f1-score,support
BENIGN,0.05918057663125948,0.18055555555555555,0.08914285714285715,216.0
Bot,0.0,0.0,0.0,193.0
Brute Force,0.42105263157894735,0.07511737089201878,0.12749003984063745,213.0
DDoS,0.0,0.0,0.0,190.0
DoS,0.0,0.0,0.0,184.0
DrDoS_DNS,0.0,0.0,0.0,190.0
DrDoS_LDAP,0.3695652173913043,0.07834101382488479,0.12927756653992395,217.0
DrDoS_MSSQL,0.0,0.0,0.0,205.0
DrDoS_NTP,0.30337078651685395,0.7641509433962265,0.4343163538873995,212.0
DrDoS_NetBIOS,0.0,0.0,0.0,208.0
DrDoS_SNMP,0.0547112462006079,0.2857142857142857,0.09183673469387756,189.0
DrDoS_SSDP,0.0,0.0,0.0,196.0
DrDoS_UDP,0.0,0.0,0.0,200.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Infiltration,0.05603448275862069,0.06878306878306878,0.06175771971496437,189.0
LDAP,0.0,0.0,0.0,198.0
MSSQL,0.0,0.0,0.0,201.0
NetBIOS,0.0,0.0,0.0,196.0
Port Scan,0.0,0.0,0.0,190.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.2,0.0048543689320388345,0.009478672985781991,206.0
TFTP,0.0,0.0,0.0,219.0
UDP,0.0,0.0,0.0,196.0
UDP-lag,0.0,0.0,0.0,199.0
Web Attack,0.0,0.0,0.0,193.0
accuracy,0.06565217391304348,0.06565217391304348,0.06565217391304348,0.06565217391304348
macro avg,0.05421907189176273,0.05398209655918811,0.034937034992794144,4600.0
weighted avg,0.06719748190596699,0.06565217391304348,0.042939237632727674,4600.0
