,precision,recall,f1-score,support
BENIGN,0.2222222222222222,0.03940886699507389,0.06694560669456066,203.0
Bot,0.5469613259668509,0.495,0.5196850393700787,200.0
Brute Force,0.5172413793103449,0.45,0.48128342245989303,200.0
DDoS,0.0,0.0,0.0,188.0
DoS,0.06172839506172839,0.050761421319796954,0.055710306406685235,197.0
DrDoS_DNS,0.02959830866807611,0.06306306306306306,0.04028776978417266,222.0
DrDoS_LDAP,0.441340782122905,0.43646408839779005,0.4388888888888889,181.0
DrDoS_MSSQL,0.5478723404255319,0.5282051282051282,0.5378590078328982,195.0
DrDoS_NTP,0.5552325581395349,0.9794871794871794,0.7087198515769945,195.0
DrDoS_NetBIOS,0.75,0.23076923076923078,0.35294117647058826,208.0
DrDoS_SNMP,0.48847926267281105,0.5326633165829145,0.5096153846153846,199.0
DrDoS_SSDP,0.4182879377431907,0.9817351598173516,0.5866302864938608,219.0
DrDoS_UDP,0.0,0.0,0.0,204.0
Infiltration,0.168,0.20388349514563106,0.18421052631578946,206.0
LDAP,0.31446540880503143,0.7142857142857143,0.4366812227074236,210.0
MSSQL,0.36929460580912865,0.42995169082125606,0.39732142857142855,207.0
NetBIOS,0.2935323383084577,0.33714285714285713,0.31382978723404253,175.0
Port Scan,0.0,0.0,0.0,194.0
Syn,0.6075949367088608,0.26373626373626374,0.367816091954023,182.0
TFTP,0.3577512776831346,0.995260663507109,0.5263157894736842,211.0
UDP,0.0,0.0,0.0,205.0
UDP-lag,0.0,0.0,0.0,189.0
Web Attack,0.0,0.0,0.0,210.0
accuracy,0.3393478260869565,0.3393478260869565,0.3393478260869565,0.3393478260869565
macro avg,0.2908523078107743,0.3361660060554939,0.2836844168195825,4600.0
weighted avg,0.2893498294495187,0.3393478260869565,0.2835506141791185,4600.0
