,precision,recall,f1-score,support
BENIGN,0.055981339553482175,0.8571428571428571,0.10509852987175478,196.0
Bot,0.0013404825737265416,0.005154639175257732,0.002127659574468085,194.0
Brute Force,0.01277139208173691,0.05,0.02034587995930824,200.0
DDoS,0.0,0.0,0.0,208.0
DoS,0.0,0.0,0.0,185.0
DrDoS_DNS,0.0,0.0,0.0,241.0
DrDoS_LDAP,0.0,0.0,0.0,199.0
DrDoS_MSSQL,0.0,0.0,0.0,220.0
DrDoS_NTP,0.0,0.0,0.0,189.0
DrDoS_NetBIOS,0.0,0.0,0.0,197.0
DrDoS_SNMP,0.0,0.0,0.0,198.0
DrDoS_SSDP,0.0,0.0,0.0,203.0
DrDoS_UDP,0.0,0.0,0.0,201.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.4166666666666667,0.026041666666666668,0.049019607843137254,192.0
LDAP,0.0,0.0,0.0,197.0
MSSQL,0.0,0.0,0.0,186.0
NetBIOS,0.0,0.0,0.0,210.0
Port Scan,0.0,0.0,0.0,195.0
Syn,0.0,0.0,0.0,191.0
TFTP,0.0,0.0,0.0,214.0
UDP,0.0,0.0,0.0,193.0
UDP-lag,0.0,0.0,0.0,213.0
Web Attack,0.0,0.0,0.0,178.0
accuracy,0.04,0.04,0.04,0.04
macro avg,0.01947039523502449,0.03753356651939126,0.007063667089946735,4600.0
weighted avg,0.020388407519159314,0.04,0.00749848228479451,4600.0
