,precision,recall,f1-score,support
BENIGN,0.3793103448275862,0.05583756345177665,0.09734513274336283,197.0
Bot,0.0,0.0,0.0,196.0
Brute Force,0.0,0.0,0.0,215.0
DDoS,0.0,0.0,0.0,193.0
DoS,0.0,0.0,0.0,187.0
DrDoS_DNS,0.0,0.0,0.0,197.0
DrDoS_LDAP,0.0,0.0,0.0,197.0
DrDoS_MSSQL,0.0,0.0,0.0,174.0
DrDoS_NTP,0.0,0.0,0.0,202.0
DrDoS_NetBIOS,0.0,0.0,0.0,212.0
DrDoS_SNMP,0.0,0.0,0.0,207.0
DrDoS_SSDP,0.0,0.0,0.0,213.0
DrDoS_UDP,0.0,0.0,0.0,212.0
Infiltration,0.0,0.0,0.0,217.0
LDAP,0.0,0.0,0.0,188.0
MSSQL,0.0,0.0,0.0,226.0
NetBIOS,0.0,0.0,0.0,213.0
Port Scan,0.0,0.0,0.0,185.0
Syn,0.0,0.0,0.0,202.0
TFTP,0.04297719087635054,1.0,0.08241252302025782,179.0
UDP,0.0,0.0,0.0,211.0
UDP-lag,0.0,0.0,0.0,191.0
Web Attack,0.0,0.0,0.0,186.0
accuracy,0.041304347826086954,0.041304347826086954,0.041304347826086954,0.041304347826086954
macro avg,0.018360327639301597,0.04590598101964247,0.007815550250592202,4600.0
weighted avg,0.017916751108239398,0.041304347826086954,0.007375833211101876,4600.0
