,precision,recall,f1-score,support
BENIGN,0.0445162894802288,0.9728260869565217,0.08513674197384066,184.0
Bot,0.0,0.0,0.0,220.0
Brute Force,0.0,0.0,0.0,186.0
DDoS,0.0,0.0,0.0,192.0
DoS,0.005660377358490566,0.014634146341463415,0.00816326530612245,205.0
DrDoS_DNS,0.0,0.0,0.0,206.0
DrDoS_LDAP,0.0,0.0,0.0,181.0
DrDoS_MSSQL,0.0,0.0,0.0,193.0
DrDoS_NTP,0.0,0.0,0.0,192.0
DrDoS_NetBIOS,0.0,0.0,0.0,207.0
DrDoS_SNMP,0.0,0.0,0.0,203.0
DrDoS_SSDP,0.0,0.0,0.0,202.0
DrDoS_UDP,0.0,0.0,0.0,215.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,183.0
LDAP,0.0,0.0,0.0,202.0
MSSQL,0.0,0.0,0.0,196.0
NetBIOS,0.0,0.0,0.0,206.0
Port Scan,0.0,0.0,0.0,195.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,195.0
TFTP,0.0,0.0,0.0,231.0
UDP,0.0,0.0,0.0,217.0
UDP-lag,0.0,0.0,0.0,195.0
Web Attack,0.0,0.0,0.0,194.0
accuracy,0.03956521739130435,0.03956521739130435,0.03956521739130435,0.03956521739130435
macro avg,0.0018583950681007172,0.03657260123325871,0.003455555825183819,4600.0
weighted avg,0.002032907526707101,0.03956521739130435,0.003769267371943866,4600.0
