,precision,recall,f1-score,support
BENIGN,0.011848341232227487,0.054945054945054944,0.01949317738791423,182.0
Bot,0.02,0.009708737864077669,0.013071895424836602,206.0
Brute Force,0.75,0.08333333333333333,0.15,216.0
DDoS,0.3669064748201439,0.2383177570093458,0.28895184135977336,214.0
DoS,0.019801980198019802,0.009569377990430622,0.012903225806451613,209.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,192.0
Fuzzers,0.0,0.0,0.0,193.0
Generic,0.12264150943396226,0.06806282722513089,0.08754208754208755,191.0
Infiltration,0.13043478260869565,0.01507537688442211,0.02702702702702703,199.0
LDAP,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,187.0
Reconnaissance,0.0,0.0,0.0,210.0
Shellcode,0.0,0.0,0.0,199.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,202.0
accuracy,0.03807692307692308,0.03807692307692308,0.03807692307692308,0.03807692307692308
macro avg,0.061810134273610824,0.020826628923991106,0.02604301106730828,2600.0
weighted avg,0.11550540293006907,0.03807692307692308,0.04818152080214374,2600.0
