,precision,recall,f1-score,support
BENIGN,0.31683168316831684,0.8080808080808081,0.45519203413940257,198.0
Bot,0.022988505747126436,0.009950248756218905,0.013888888888888888,201.0
Brute Force,0.40707964601769914,0.4339622641509434,0.4200913242009132,212.0
DDoS,0.0,0.0,0.0,208.0
DoS,0.24705882352941178,0.84,0.38181818181818183,200.0
Exploits,0.0,0.0,0.0,187.0
Fuzzers,0.0,0.0,0.0,212.0
Generic,0.0,0.0,0.0,192.0
Infiltration,0.12857142857142856,0.13636363636363635,0.1323529411764706,198.0
Port Scan,0.34807692307692306,0.861904761904762,0.4958904109589041,210.0
Reconnaissance,0.0,0.0,0.0,191.0
Shellcode,0.0,0.0,0.0,201.0
Web Attack,0.0,0.0,0.0,190.0
accuracy,0.2423076923076923,0.2423076923076923,0.2423076923076923,0.2423076923076923
macro avg,0.11312361616237736,0.2377124399427976,0.1460949062448278,2600.0
weighted avg,0.11600742664901169,0.2423076923076923,0.1494944442980036,2600.0
