,precision,recall,f1-score,support
BENIGN,0.03991507430997877,0.48205128205128206,0.07372549019607844,195.0
Bot,0.0,0.0,0.0,189.0
Brute Force,0.0,0.0,0.0,200.0
DDoS,0.5,0.005263157894736842,0.010416666666666666,190.0
DoS,0.0979020979020979,0.07407407407407407,0.08433734939759036,189.0
Exploits,0.0,0.0,0.0,211.0
Fuzzers,0.0,0.0,0.0,188.0
Generic,0.0,0.0,0.0,207.0
Infiltration,0.0,0.0,0.0,215.0
Port Scan,0.0,0.0,0.0,204.0
Reconnaissance,0.0,0.0,0.0,196.0
Shellcode,0.0,0.0,0.0,196.0
Web Attack,0.0,0.0,0.0,220.0
accuracy,0.041923076923076924,0.041923076923076924,0.041923076923076924,0.041923076923076924
macro avg,0.04906285940092898,0.043183731847699455,0.012959962020025806,2600.0
weighted avg,0.04664882153613168,0.041923076923076924,0.01242130626578713,2600.0
