,precision,recall,f1-score,support
BENIGN,0.18800461361014995,0.7616822429906542,0.301572617946346,214.0
Bot,0.0,0.0,0.0,212.0
Brute Force,1.0,0.05454545454545454,0.10344827586206896,220.0
DDoS,0.0,0.0,0.0,212.0
DoS,0.029411764705882353,0.00558659217877095,0.009389671361502348,179.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
Exploits,1.0,0.005376344086021506,0.0106951871657754,186.0
Fuzzers,0.0,0.0,0.0,201.0
Generic,0.18218623481781376,0.4433497536945813,0.2582496413199426,203.0
Infiltration,0.025252525252525252,0.024875621890547265,0.02506265664160401,201.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,190.0
Reconnaissance,0.0,0.0,0.0,207.0
Shellcode,0.0,0.0,0.0,165.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,210.0
accuracy,0.10461538461538461,0.10461538461538461,0.10461538461538461,0.10461538461538461
macro avg,0.11546929230411292,0.061686476637429995,0.03373419287129711,2600.0
weighted avg,0.18982971401488416,0.10461538461538461,0.05708749541908735,2600.0
