,precision,recall,f1-score,support
BENIGN,0.38031319910514544,0.7906976744186046,0.513595166163142,215.0
Bot,0.9903846153846154,0.5478723404255319,0.7054794520547946,188.0
Brute Force,0.5053003533568905,0.7114427860696517,0.5909090909090909,201.0
DDoS,0.0,0.0,0.0,190.0
DoS,0.1762402088772846,0.7627118644067796,0.2863202545068929,177.0
Exploits,0.4787234042553192,0.7894736842105263,0.5960264900662252,228.0
Fuzzers,0.011111111111111112,0.004784688995215311,0.006688963210702341,209.0
Generic,0.24509803921568626,0.12437810945273632,0.16501650165016502,201.0
Infiltration,0.01090909090909091,0.015306122448979591,0.012738853503184714,196.0
Port Scan,0.0,0.0,0.0,191.0
Reconnaissance,1.0,0.2647058823529412,0.4186046511627907,204.0
Shellcode,0.6962025316455697,0.2925531914893617,0.41198501872659177,188.0
Web Attack,0.0,0.0,0.0,212.0
accuracy,0.3342307692307692,0.3342307692307692,0.3342307692307692,0.3342307692307692
macro avg,0.3457140426046702,0.3310712572515638,0.2851818801502754,2600.0
weighted avg,0.3455690982839481,0.3342307692307692,0.2878116182900294,2600.0
