,precision,recall,f1-score,support
BENIGN,0.3969957081545064,0.8685446009389671,0.5449189985272459,213.0
Bot,0.0,0.0,0.0,188.0
Brute Force,0.0,0.0,0.0,223.0
DDoS,0.0,0.0,0.0,193.0
DoS,0.23122238586156113,0.7969543147208121,0.3584474885844749,197.0
Exploits,0.04289544235924933,0.14285714285714285,0.06597938144329897,224.0
Fuzzers,0.010416666666666666,0.020618556701030927,0.01384083044982699,194.0
Generic,0.0625,0.10309278350515463,0.07782101167315175,194.0
Infiltration,0.0,0.0,0.0,190.0
Port Scan,0.0,0.0,0.0,193.0
Reconnaissance,0.0,0.0,0.0,188.0
Shellcode,0.0,0.0,0.0,201.0
Web Attack,0.0,0.0,0.0,202.0
accuracy,0.15307692307692308,0.15307692307692308,0.15307692307692308,0.15307692307692308
macro avg,0.05723309254169104,0.14862056913254676,0.08161597774446142,2600.0
weighted avg,0.059178964720554846,0.15307692307692308,0.08432449259715454,2600.0
