,precision,recall,f1-score,support
BENIGN,0.25,0.20512820512820512,0.22535211267605634,195.0
Bot,0.6687116564417178,0.5240384615384616,0.5876010781671159,208.0
Brute Force,0.34328358208955223,0.12365591397849462,0.18181818181818182,186.0
DDoS,0.14751552795031056,0.95,0.2553763440860215,200.0
DoS,0.009433962264150943,0.00510204081632653,0.006622516556291391,196.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,199.0
Fuzzers,0.0,0.0,0.0,221.0
Generic,0.20708955223880596,0.5606060606060606,0.3024523160762943,198.0
Infiltration,0.03205128205128205,0.026881720430107527,0.029239766081871343,186.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,220.0
Reconnaissance,0.0,0.0,0.0,189.0
Shellcode,0.0,0.0,0.0,204.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,198.0
accuracy,0.18423076923076923,0.18423076923076923,0.18423076923076923,0.18423076923076923
macro avg,0.08726766121241156,0.12607433697356085,0.08360327976114909,2600.0
weighted avg,0.12692700107968916,0.18423076923076923,0.12218473276359412,2600.0
