,precision,recall,f1-score,support
BENIGN,0.07236522583778533,0.7925531914893617,0.1326212728081887,188.0
Bot,0.0,0.0,0.0,191.0
Brute Force,0.0,0.0,0.0,217.0
DDoS,0.0,0.0,0.0,190.0
DoS,0.012048192771084338,0.016304347826086956,0.013856812933025405,184.0
Exploits,0.0,0.0,0.0,203.0
Fuzzers,0.0,0.0,0.0,200.0
Generic,0.0,0.0,0.0,212.0
Infiltration,0.0,0.0,0.0,210.0
Port Scan,0.0,0.0,0.0,199.0
Reconnaissance,0.0,0.0,0.0,207.0
Shellcode,0.0,0.0,0.0,185.0
Web Attack,0.0,0.0,0.0,214.0
accuracy,0.05846153846153846,0.05846153846153846,0.05846153846153846,0.05846153846153846
macro avg,0.006493339892989974,0.06221981071657297,0.011267545057016468,2600.0
weighted avg,0.006085203818224292,0.05846153846153846,0.010570174179852366,2600.0
